text	cyrillic	diplomatic	lemma	PoS_tag	PoS_ext	sent_id	UD_id	UD_ncy	UD_type	UD_ext	page	folio	translation	eol	chapter	ref	desc	lat_header	cyr_header	lat_page_nr	cyr_page_nr	chunk	chunk_desc	pic_desc
																								
Slovo+	Слово+	slovo	slovo	Nnsnn		1	1	0	root		40r	/img/satan/40r.JPG	[Title] Homily of John Chrysostomus	0	sat CIAI 1161 - How Michael Defeated Satanael		<b><i>Homily of John Chrysostom on How Michael Defeated Satanael</i></b><br/>CIAI 1161<br/> Serbia, 16th c.<br/>40r-55v<br/><br/>The story of Satanael-Antichrist, his rebellion against God, and his fight with Archangel Michael. The story spread as a part of apocryphal miscellanies, which served as a source for Punčo's translation (<a target=_blank href=/chapter_view.php?chapter=013&cyr=1>link</a>). <br/> The manuscript CIAI 1161 from the 16th century shows strong Serbian, but also Macedonian dialectal influence. Unlike the <i>Tale of Alexander the Elder</i> in the same source (<a target=_blank href=/chapter_view.php?corpus=sva&chapter=116&cyr=1>link</a>), it also shows postposed articles. The source also shows uncommon diacritics. Combined uks (as here - о̿у) and most iotas show two short horizontal lines (something like ı̿, given as <i>ï</i>), while initial ots/omegas carry two or three dots above (ѡ֒). Long horizontal lines seem to be used for both accents and titlos. As their position differs (gravis tends to be written more on the left from the letter), we interpret them with conventional markers.<br/>Facsimile provided by Dr. Miltenova and the Church Historical and Archive Institute in Sofia.<br/>The CIAI 1161 and Punčo's versions can be opened together in a <a target=_blank href=/collated_view.php?chapter=sat&cyr=1>collated view</a>.					1	Title	
zlato.ustago	злато.ꙋстаго	zlatoustago	Zlatoust	Amsgy		1	2	3	amod															
iwna.	иѡна.	iona	Ioan	Nmsgy		1	3	1	nmod	poss				1										
																								
Kako+	Како+	kako	kako	Pq		2	1	2	advmod				[Title] How Michael defeated Satanail											
pověde+	повѣде+	pověde	pobedja	Vmia3se		2	2	0	root															
mixailь.	михаиль.	mixailъ	Mixail	Nmsny		2	3	2	nsubj					1										
santaila,	сантаила,	santaila	Satanail	Nmsgy		2	4	2	obj															
																								
gdě+	гдѣ+	gdě	Gospod	Nmsly		3	1	2	vocative				[Title] O Lord, bless (the reader)!			Formally, an o-stem sg.loc.								
blgoslovi	блгослови	blgoslovi	blagoslovja	Vmm-2si		3	2	0	root					1										
																								
gь+	гь+	gъ	Gospod	Nmsny		4	1	17	nsubj				The Lord, our God, Jesus Christ, Creator of the heavens and the earth, and all the creation,									2	Rebellion of Satanael	
bь+	бь+	bъ	bog	Nmsny		4	2	1	appos															
nšь+	ншь+	nšъ	naš	Amsnn		4	3	2	amod	poss														
ıs+	ıс+	is	Isus	Nmsny		4	4	2	appos															
xsь.	хсь.	xsъ	Xristos	Nmsny		4	5	4	appos															
tvorcь	творць	tvorcъ	tvorec	Nmsny		4	6	4	appos					1										
nbu	нбꙋ	nbu	nebe	Nnsdn		4	7	6	nmod	iobj														
i+	и+	i	i	C		4	8	9	cc															
zemli	земли	zemli	zemlja	Nfsdn		4	9	7	conj															
