text	cyrillic	diplomatic	lemma	PoS_tag	PoS_ext	sent_id	UD_id	UD_ncy	UD_type	UD_ext	page	folio	translation	eol	chapter	ref	desc
																	
Ɔstɨ́ɣan	Осты́ган	Ostygan	ɔ́stɨ́k</i> ʹOstyak, Ketʹ	m.pl.abs		1	1	2	nsubj		375	https://kyberia.sk/images/nodes/8/5/8574118.gif	The Ket say, that a reindeer knows everything.	0	ket - śeľda deśtuľan		<b>Śeľda deśtuľan</b><br/>Tears of a Reindeer<br/><br/>A folk tale with translation and morphological analysis from the Ket grammar by Heinrich Werner (1997:375). Ket represents one of the last living, although severely endangered (<a href=https://en.wikipedia.org/wiki/Ket_language>wiki</a>), varieties of the Yenisean language family. The text follows the Wernerʼs phonetic transcript (base Latin, cf. Georg 2007:47f.), modern Cyrillic orthography by Werner and Nikolajeva (with accents and jats for <i>ä</i>). The diplomatic text is a custom, simplified model of Wernerʼs transcript. PoS tags are replaced with Leipzig-style tags. Default forms are infinitive (if not given, m3sg-subj.prs) for verbs and sg.abs (i.e. nom/acc) for nouns. <br/><br/><font size=1>Literature:<br/>Heinrich Werner (1997) <i>Die ketische Sprache</i>. Wiesbaden: Harrasowitz.<br/>Stefan Georg (2007) <i>A Descriptive Grammar of Ket (Yenisei-Ostyak)</i>. Leiden: Brill.</font>
mánʼmaŋ,	ма́ньмаӈ,	mańman,	bárʹä</i> ʹsayʹ	3pl-subj.prs		1	2	0	root								
⁴sʼɛlʼ	⁴сель	⁴śeľ	⁴sʼɛlʼ</i> ʹreindeerʹ	m.sg.abs		1	3	5	nsubj								
bɨ́lʼdɛ	бы́льдэ	byľde	bɨ́lʼdɛ</i> ʹallʹ	quantifier		1	4	5	obj								
ítalʼam.	и́талям.	itaľam.	ítalʼam</i> ʹknowʹ	m3sg-subj.prs		1	5	2	advcl					1			
																	
¹Bu	¹Бу	¹Bu	¹bu</i> ʹhe, sheʹ	3sg.abs		2	1	4	nsubj				It listens to the words of people.				
dɛ́ŋna	дэ́ӈна	denna	²dɛˀŋ</i> ʹpeopleʹ	m.sg.gen		2	2	3	nmod	poss							
³qaːnʼ	³ӄаːнь	³qań	²qaˀ</i> ʹwordʹ	m.pl.abs		2	3	4	obj								
aɣábdɛ.	ага́бдэ.	agabde.	aɣábdɛ</i> ʹhearʹ	m3sg-subj.prs		2	4	0	root					1			
																	
¹Tam	¹Там	¹Tam	¹tam</i> ʹthereʹ	R		3	1	2	amod				There lived a reindeer with (the family of) Latikovs.				
ásʼka	а́ська	aśka	ásʼka</i> ʹwhenʹ	R		3	2	3	amod								
