text	cyrillic	diplomatic	lemma	PoS_tag	PoS_ext	sent_id	UD_id	UD_ncy	UD_type	UD_ext	page	folio	translation	eol	chapter	ref	desc
																	
Vъ	Ⰲⱏ	vъ	v	Sl		1	1	3	case		1v	/img/kiev/kf_1v.jpg	[Title] On the 23th day (of November), (Feast of St.) Clement	0	kvf Kiev Folia		<b>Kiev Folia</b><br/><br/>A famous fragment of an Old Church Slavonic missal, written likely in Pannonia in the 10th century. One of the oldest examples of Slavonic literature. The preserved fragments contains liturgical prayers for the feasts of St. Clement and St. Felicitas, all martyrs, and others.<br/> Facsimile provided by <a href=http://www.nbuv.gov.ua/>National Library of Ukraine "V.I. Vernandsky"</a> via <a href=https://kodeks.uni-bamberg.de/AKSL/Texte/KievFolia.htm>University of Bamberg</a>.<br/>The transcript is conventional. Final -ⱑ is given as -<i>ě</i> even in neut. soft (e.g. <i>lěta obidocě</i>) and ja-stems (<i>mьšě</i>), where it may be analyzed as /ja/. Two juses - ⱘ and ⱗ - are given, respectively, as <i>jǫ</i> and <i>ję</i> in both blocked and free positions.<br/>A <a target=_blank href=/gla>Glagolitic keyboard</a> can be used for search.
*iv*	·ⰻⰲ·	*iv*	23	Mc		1	2	3	amod								
dьnь+	ⰴⱐⱀⱐ₊	dъnъ	den	Nmsni		1	3	0	root	loc							
klïmenta	ⰽⰾⰹⰿⰵⱀⱅⰰ	klimenta	Kliment	Nmsgy		1	4	2	appos					1			
																	
Bъ+	Ⰱⱏ₊	bъ	bog	Nmsny		2	1	14	vocative				(O) merciful God, who for many passing years makes us rejoice by the honor of your martyr and pope, blessed Clement, grant us:				
ʾīže+	҆ⰺⰶⰵ₊	iže	iže	Pr-msn		2	2	5	mark								
nъi.	ⱀⱏⰻ.	ny	nie	Pp1-pa		2	3	5	obj								
lěta	ⰾⱑⱅⰰ	lěta	lěto	Nnpnn		2	4	5	obl								
ʾogrjędǫcě	҆ⱁⰳⱃⱗⰴⱘⱌⱑ	ogrjędǫcě	ogręsti	Vmpp-pia	Anpnn	2	5	13	advcl					1			
blaženago	ⰱⰾⰰⰶⰵⱀⰰⰳⱁ	blaženago	blažen	Amsgy		2	6	7	amod								
klimenta+	ⰽⰾⰻⰿⰵⱀⱅⰰ₊	klimenta	Kliment	Nmsgy		2	7	12	nmod	poss							
mǫ_čenïka	ⰿⱘ_ⱍⰵⱀⰹⰽⰰ	mǫčenika	mъčenik	Nmsgy		2	8	7	appos					1			
tvoego+	ⱅⰲⱁⰵⰳⱁ₊	tvoego	tvoi	Amsgy		2	9	8	amod	poss							
ī+	ⰺ₊	i	i	C		2	10	11	cc								
papeža	ⱂⰰⱂⰵⰶⰰ	papeža	papež	Nmsgy		2	11	8	conj					1			
čьstьjǫ	ⱍⱐⱄⱅⱐⱙ	čъstъjǫ	čest	Nfsii		2	12	13	obl								
veselïšī.	ⰲⰵⱄⰵⰾⰹⱎⰺ.	veseliši	veselja	Vmip2si		2	13	1	acl								
poda_zь	ⱂⱁⰴⰰ_ⰸⱐ	podazъ	podam	Vmm-2se		2	14	0	root					1			
mïlostïvъï^.	ⰿⰹⰾⱁⱄⱅⰹⰲⱏⰹ̂.	milostivy	milostiv	Amsny		2	15	1	amod								
																	
dá+	ⰴⰰ́₊	da	da	C		3	1	9	aux	opt			May we follow him by the power of martyrdom, to whose honor we give honor				
ʾegože	҆ⰵⰳⱁⰶⰵ	egože	iže	Pr-msg		3	2	4	mark					1			
čьstь	ⱍⱐⱄⱅⱐ	čъstъ	čest	Nfsni		3	3	4	obj								
čьstïmъ.	ⱍⱐⱄⱅⰹⰿⱏ.	čъstimъ	čъstja	Vmip1pi		3	4	8	acl	poss							
sïlójǫ	ⱄⰹⰾⱁ́ⱙ	silojǫ	sila	Nfsin		3	5	9	obl					1			
ʾubo	҆ⱆⰱⱁ	ubo	ubo	C		3	6	9	cc								
mǫčeniě+	ⰿⱘⱍⰵⱀⰻⱑ₊	mǫčeniě	mъčenie	Nnsgn		3	7	5	nmod	poss							
ʾego	҆ⰵⰳⱁ	ego	toi	Pp3msg		3	8	7	nmod	poss							
naslědue_mъ:.:	ⱀⰰⱄⰾⱑⰴⱆⰵ_ⰿⱏ:.:	naslěduemъ	naslědovati	Vmip1pi		3	9	0	root					1			
																	
gmь:.:	ⰳⰿⱐ:.:	gmъ	glagolati	Vmip1pi		4	1	0	root				We say (...)				
																	
nadъ	ⱀⰰⰴⱏ	nadъ	nad	Si		5	1	2	case				[Title] Over Eucharist				
oplatmь	ⱁⱂⰾⰰⱅⰿⱐ	oplatmъ	oplat	Nmsin		5	2	0	root	loc				1			
																	
[da]Rovaníję+	[ⰴⰰ]Ⱃⱁⰲⰰⱀⰻ́ⱗ₊	darovaniję	daruvam	Ampay	Vmpa-pe	6	1	4	obj				O Lord, sanctify the brought gifts				
gï+	ⰳⰹ₊	gi	Gospod	Nmsvi		6	2	4	vocative								
prïnesenъiję	ⱂⱃⰹⱀⰵⱄⰵⱀⱏⰻⱗ	prinesenyję	prinesa	Ampay	Vmpa-pe	6	3	1	amod					1			
svjętï´.	ⱄⰲⱗⱅⰹ́.	svjęti	svęt	Vmm-2si		6	4	0	root								
																	
ʾī+	҆ⰺ₊	i	i	C		7	1	13	cc				And, by the mediation of you blessed martyr Clement, purify us with this from the dirt of our sins				
xodataję´cju	ⱈⱁⰴⰰⱅⰰⱗ́ⱌⱓ	xodatajęcju	xodataistvovati	Vmpp-sia	Amsdn	7	2	13	advcl					1			
blaženumu	ⰱⰾⰰⰶⰵⱀⱆⰿⱆ	blaženumu	blažen	Amsdy		7	3	4	amod								
klimentu	ⰽⰾⰻⰿⰵⱀⱅⱆ	klimentu	Kliment	Nmsdy		7	4	2	nsubj					1			
mǫčeniku	ⰿⱘⱍⰵⱀⰻⰽⱆ	mǫčeniku	mъčenik	Nmsdy		7	5	4	appos								
tvoemu.	ⱅⰲⱁⰵⰿⱆ.	tvoemu	tvoi	Amsdy		7	6	5	amod	poss							
simь	ⱄⰻⰿⱐ	simъ	sii	Pd-msi		7	7	13	obl					1			
nъi`	ⱀⱏⰻ̀	ny	nie	Pp1-pa		7	8	13	obj								
ʾotъ+	҆ⱁⱅⱏ₊	otъ	ot	Sg		7	9	11	case								
grěxъ^	ⰳⱃⱑⱈⱏ̂	grěxъ	grěx	Nmpgn		7	10	11	nmod	poss							
skvrьnostiī	ⱄⰽⰲⱃⱐⱀⱁⱄⱅⰻⰺ	skvrъnostii	skvrъnost	Nfpgi		7	11	13	obl	abl				1			
našīxъ	ⱀⰰⱎⰺⱈⱏ	našixъ	naš	A-pgy		7	12	10	amod	poss							
ʾočïstï:	҆ⱁⱍⰹⱄⱅⰹ:	očisti	očistja	Vmm-2se		7	13	0	root								
																	
gmь:	ⰳⰿⱐ:	gmъ	glagolati	Vmip1pi		8	1	0	root				We say (...)	1			
																	
prěfaciě:	ⱂⱃⱑⱇⰰⱌⰻⱑ:	prěfaciě	prěfacia	Nfsnn		9	1	0	root				[Title] Preface				
do	ⰴⱁ	do	do	I		9	2	1	discourse								
																	
věčьnъï^	ⰲⱑⱍⱐⱀⱏⰹ̂	věčъny	večen	Amsny		10	1	2	amod				O eternal God, honoring the honor of Clement, the law-giver and martyr, who worked to be (like) Your Apostle Peter,				
bže	ⰱⰶⰵ	bže	bog	Nmsvy		10	2	29	vocative					1			
Čь´stьnaˇgo+	Ⱍⱐ́ⱄⱅⱐⱀⰰ̆ⰳⱁ₊	čъstъnago	čъsten	Amsgy		10	3	4	amod								
klimenta+	ⰽⰾⰻⰿⰵⱀⱅⰰ₊	klimenta	Kliment	Nmsgy		10	4	8	nmod	poss							
zako_nьnïka	ⰸⰰⰽⱁ_ⱀⱐⱀⰹⰽⰰ	zakonъnika	zakonnik	Nmsgy		10	5	4	appos					1			
ʾī+	҆ⰺ₊	i	i	C		10	6	7	cc								
mǫčenï´ka	ⰿⱘⱍⰵⱀⰹ́ⰽⰰ	mǫčenika	mъčenik	Nmsgy		10	7	5	conj								
čьstï	ⱍⱐⱄⱅⰹ	čъsti	čest	Nfsgi		10	8	9	obj					1			
čьstjęce.	ⱍⱐⱄⱅⱗⱌⰵ.	čъstjęce	čъstja	Vmpp-sia	Ampnn	10	9	29	advcl								
ʾīže	҆ⰺⰶⰵ	iže	iže	Pr-msn		10	10	11	mark								
ʾutjęže	҆ⱆⱅⱗⰶⰵ	utjęže	utęžati	Vmia3ser		10	11	4	acl							Miklosich: <i>utęžati</i> 'operare'	
bъi_tï+	ⰱⱏⰻ_ⱅⰹ₊	byti	sъm	Vmn---i		10	12	11	advcl					1			
blaženu^mu	ⰱⰾⰰⰶⰵⱀⱆ̂ⰿⱆ	blaženumu	blažen	Amsdy		10	13	14	amod								
ʾapósto_lu	҆ⰰⱂⱁ́ⱄⱅⱁ_ⰾⱆ	apostolu	apostol	Nmsdy		10	14	10	obl	iobj				1			
