text	cyrillic	diplomatic	lemma	PoS_tag	PoS_ext	sent_id	UD_id	UD_ncy	UD_type	UD_ext	page	folio	translation	eol	chapter	ref	desc	lat_header	cyr_header	lat_page_nr	cyr_page_nr	chunk	chunk_desc
																							
12.	12.	12	12	Md		1	1	7	discourse		72	/img/other/man1.jpeg	[Title] 12. Seven elks stood on one foot	0	man Vogul Chrestomathy		<b>Vogul Chrestomathy</b><br/><br/>Mansi (or Vogul) folk stories from the collection of Béla Kálmán. Presently, the sample contains two stories: the play <i>Seven Elks Stood on One Foot</i> (Kálmán 1965:72-73) and the historical epic poem <i>Song of Conversion</i> (ibid. 79-81).<br/><br/><font size=1>  Nominal tag structure: N-(gender)-number-case-possessor<br/>  numbers: singular (s), dual (d), plural (p)<br/>  cases: unmarked (n), ablative (b), lative (d), locative (l), instrumental (i), translative (t)<br/>  possessors: 1sg (1), 2sg (2), 3sg (3), 1pl (a), 2pl (b), 3pl (c)<br/><br/>  Verbal tag structure: V-conjugation-mood-tense-person-number-obj.number-voice/ptcp.type<br/>  conjugations: indefinite (m), definite (d)<br/>  moods: indicative (i), imperative (m), infinitive (n), conditional-optative (o), narrative (r), participle (p)<br/>  tenses: present (p), past (a)<br/> participle types: -ŋ (a), -i (i), -m (m), -n/-ne (n), -pa (p), -s (s), -tal (t) <br/><br/> Lemma dictionary: <a target=_blank href=/dict.php?var=mansi>link</a><br/><br/>Literature:<br/>Béla Kálman (1965) <i>Vogul Chrestomathy</i>. Bloomington: Indiana University.<br/>Timothy Riese (2001) <i>Vogul</i> (<i>Languages of the World/Materials</i> 158). München: Lincom Europa.</font>						
sāt	сат	sāt	sāt	Ml		1	2	3	nummod														
sōrp	сорп	sōrp	sōrp	N-sn		1	3	7	nsubj							Pos. 2, indicating gender elsewhere in the corpus, is always blank.							
akw	акв	akw	akw	Ml		1	4	5	nummod														
lāɣl	лагл	lāɣl	lāɣl	N-sn		1	5	7	obl	loc													
tarməl	тармыл	tarməl	tarməl	S		1	6	5	case														
ľūľsət,	люльсыт,	ľūľsət	ľūľi	Vmia3p		1	7	0	root							Tag pos. 7 and 8 (obj.number and voice) are omitted, unless explicitly marked by relevant suffixes (i.e. in indef. verbs with active voice).							
																							
tūli̮ɣlap	тулиглап	tūliɣlap	tūliɣlap	N-sn		2	1	0	root				[Title] A spectacle	1									
																							
am	ам	am	am	Pp1-sn		3	1	4	nsubj				I went fishing (lit. hunt a fish).										
χūl	xул	xūl	xūl	N-sn		3	2	3	obj														
aliślaŋkwe	алищлаӈкве	aliślaŋkwe	aliśli	Vmn		3	3	4	advcl														
minasᵘm.	минасум.	minasum	mini	Vmia1s		3	4	0	root														
																							
χūlpət	xулпыт	xūlpət	xūlp	N-pn		4	1	2	obj				I threw (took?) fishing nets,										
maχtsᵘm,	маxтсум,	maxtsum	maxti	Vmia1s		4	2	0	root														
																							
pā	па	pā	pā	R		5	1	2	advmod				I went to the shore,										
kwālsᵘm:	квалсум:	kwālsum	kwāli	Vmia1s		5	2	0	root														
																							
wāni̮ɣn,	ванигн,	wāniɣn	wāniɣ	N-dd		6	1	3	obl	lat			I walked into the mountains and forests,										
wōrn	ворн	wōrn	wōr	N-sd		6	2	1	conj														
jōmentasᵘm,	йоментасум,	jōmentasum	jōmanti	Vmia1s		6	3	0	root							Forms with regular derivational suffixes (cf. Kálmán 1965:48, Riese 2001:58) are handled as separate lemmas.							
																							
takwəs-āluw	таквыс-алув	takwəs-āluw	takwəs-āluw	R		7	1	3	advmod				I went in the autumn,										
ta	та	ta	ta	Pd		7	2	1	det														
jōmsᵘm.	йомсум.	jōmsum	jōmi	Vmia1s		7	3	0	root					1									
																							
akw-mat-ērt	акв-мат-ерт	akw-mat-ērt	akw-mat-ērt	R		8	1	3	advmod				(but) suddenly it began to snow.										
tūjt	туйт	tūjt	tūjt	N-sn		8	2	3	nsubj														
patəs.	патыс.	patəs	pati	Vmia3s		8	3	0	root														
																							
āmpᵘm	ампум	āmpum	āmp	N-sn1		9	1	3	nsubj				My dog barks strongly (?) at something.			Possessive suffixes (pos. 5):<br/>1 - 1sg<br/>2 - 2sg<br/>3 - 3sg<br/>a - 1pl<br/>b - 2pl<br/>c - 3pl<br/><br/>Left blank if no possessor is indicated on the word. Mansi uses distinctive endings according to the number of the possessee (e.g. <i>āmpe</i> 'his/her dog', <i>āmpane</i> 'his/her dogs' - not **<i>āmpəte</i>!).<br/>The system based on Turkish tagset.							
matər	матыр	matər	matər	Pi		9	2	3	obj														
ūti,	ути,	ūti	ūti	Vmip3s		9	3	0	root														
sujti.	суйти.	sujti	sujti	Vmip3s		9	4	3	conj														
																							
tuw	тув	tuw	tuw	Pr		10	1	2	advmod				I went there,										
jōmsᵘm,	йомсум,	jōmsum	jōmi	Vmia1s		10	2	0	root														
																							
taw	тав	taw	taw	Pp3-sn		11	1	4	nsubj				it surely barked at a sable.										
ťal	тял	ťal	ťal	R		11	2	4	advmod														
ńoχs	нюxс	ńoxs	ńoxs	N-sn		11	3	4	obj														
ūts.	утс.	ūts	ūti	Vmia3s		11	4	0	root														
																							
am	ам	am	am	Pp1-sn		12	1	2	nsubj				I tracked (it), where it fell.										
pōsəltaslᵘm,	посылтаслум,	pōsəltaslum	pōsəlti	Vdia1ss		12	2	0	root														
taw	тав	taw	taw	Pp3-sn		12	3	4	nsubj														
jol-rēpi̮ɣtaχti.	йол-репигтаxти.	jol-rēpiɣtaxti	jol-rēpiɣtaxti	Vmip3s		12	4	2	advcl	obl:loc													
																							
āmpᵘm	ампум	āmpum	āmp	N-sn1		13	1	3	nsubj				My dog was jumping.										
tuw	тув	tuw	tuw	Pr		13	2	3	advmod														
sēlχats.	селxатс.	sēlxats	sēlxati	Vmia3s		13	3	0	root														
																							
taw	тав	taw	taw	Pp3-sn		14	1	2	nsubj				It jumped aside.										
χot-raɣats.	xот-рагатс.	xot-raɣats	xot-raɣati	Vmia3s		14	2	0	root														
																							
āmp	амп	āmp	āmp	N-sn		15	1	2	nsubj				The dog whined.										
śisɣəltaχtəs.	щисгылтаxтыс.	śisɣəltaxtəs	śisɣəltaxti	Vmia3s		15	2	0	root														
																							
am	ам	am	am	Pp1-sn		16	1	3	nsubj				I went there around (?)										
tuw	тув	tuw	tuw	Pr		16	2	3	advmod														
jōmli̮ɣtasᵘm:	йомлигтасум:	jōmliɣtasum	jōmliɣtaxti	Vmia1s		16	3	0	root							Refl. suffix -<i>iɣta</i>- ?							
																							
jani̮ɣ	яниг	janiɣ	janiɣ	A		17	1	4	amod				It ruffled dorsal fins of blacktail fish,										
simri	симри	simri	simri	N-sn		17	2	4	nmod	poss													
