text	cyrillic	diplomatic	lemma	PoS_tag	PoS_ext	sent_id	UD_id	UD_ncy	UD_type	UD_ext	page	folio	translation	eol	chapter	ref	desc	lat_header	cyr_header	alt_page_lat	alt_page_cyr	chunk	chunk_desc	pic_desc
																								
Vь+	Вь+	vъ	v	Sl		1	1	3	case		50r	/img/petka/bar_50r.jpg	[Title] On the same day	0	bar BAR Ms. slav 287 - Petka		<i>Vieţile sfinţilor pe lunile septembrie-februarie</i><br/>Ms. slav 287, Romanian Academy of Sciences, Bucharest<br/>Wallachia, 16th century					1	Title	
tьžde	тьжде	tъžde	tъžde	Pr-msn		1	2	3	det	ext														
dn҃ь	дн҃ь	dnъ	den	Nmsnn		1	3	0	root															
																								
st҃yʺjeî	ст҃ы̏ѥи̂	styjei	svęt	Afsgy		2	1	3	amod				[Title] (Life) of St. Reverend Parascheva			The ending are corrupted: <i>styjei</i> seems to mix sg.gen.lf *<i>svętyę</i> and sg.dat.lf *<i>svętěi</i>. If we take <i>y</i> as a variant of /i/, <i>prpdbnii</i> could reflect sg.gen.sf *<i>prěpodobny</i>. It is also affected by the doubling of final -<i>i</i>, as the main noun (which may also reflect Greek <i>Parasxeѵē</i>). NBKM 665: <i>stye prpdobnie paraskevie</i>								
prpdbniî	прпдбнии̂	prpdbnii	prepodoben	Ampny	Afsgn	2	2	3	amod															
paraskéviì:	параске́виѝ:	paraskevii	Paraskeva	Nfsgy		2	3	0	root					1										
																								
(n/a)									mrg													2	Introduction	
																								
Sîjà	Си̂ꙗ̀	sija	sii	Pd-fsn		3	1	5	det				This saint and reverend Parascheva was from a village called Epibates, (near) the city of Kalikratia,									3	Petka's Childhood	
st҃ajà	ст҃аꙗ̀	staja	svęt	Afsny		3	2	5	amod															
i+	и+	i	i	C		3	3	4	cc															
prpdobnaa	прпдобнаа	prpdobnaa	prepodoben	Afsny		3	4	2	conj															
páraskeveî.	пáраскевеи̂.	paraskevei	Paraskeva	Nfsdy		3	5	6	nsubj							The ending -<i>ei</i> is likely taken from the adjectival paradigm (~ sg.dat.lf -<i>ěi</i>), although it makes no sense after sg.nom adjectives.								
bys	быс	bys	sъm	Vmia3si		3	6	0	root															
wt+	ѿ+	ot	ot	Sg		3	7	8	case															
vʾsì	в҆сѝ	vsi	ves	Nfsgn		3	8	6	obl	abl														
ʾepívatemъ	҆епи́ватемъ	epivatemъ	Epivat	Amsin		3	9	10	obl					1										
naričema.	наричема.	naričema	nareča	Vmpp-se	Afsnn	3	10	8	acl	pass														
wt+	ѿ+	ot	ot	Sg		3	11	12	case															
grda	грда	grda	grad	Nmsgn		3	12	8	conj	abl														
kali_krátïє.	кали_крáтїє.	kalikratiє	Kalikratia	Nfsgn		3	13	12	appos															
																								
dьštiʺ	дьщи̏	dъšti	dъšti	Nfsny		4	1	0	root				(She was) a daughter of pious parents, (who were) neither rich by the numbers (of servants?), nor having domains, but still, nor suffering from misery.											
bl҃gověrnou	бл҃говѣрноу	blgověrnou	blagověren	Afdgn		4	2	3	amod															
rodi_teljù.	роди_телю̀.	roditelju	roditel	Nmdgy		4	3	1	nmod	poss														
ni+	ни+	ni	ni	C		4	4	6	cc															
čislom	числом	čislom	čislo	Nnsin		4	5	6	nmod															
bogatïî,	богатїи̂,	bogatii	bogat	Ampny		4	6	3	amod															
ni+	ни+	ni	ni	C		4	7	9	cc															
w^blastì	ѡ̂бластѝ	oblasti	oblast	Nfpnn	Nfsgn	4	8	9	obj															
i^mouˇštïîx.	и̂моўщїи̂х.	imouštiix	imam	Vmpa-pia	A-pgy	4	9	6	conj	acl														
niʺ_že+	ни̏_же+	niže	niže	C		4	10	13	cc					1										
pakŷ	пакы̂	paky	paky	R		4	11	13	advmod															
niʺštetoju+	ни̏щетою+	ništetoju	ništeta	Nfsin		4	12	13	obl															
straždouštïîx.	страждоущїи̂х.	straždouštiix	stradam	Vmpa-pia	A-pgy	4	13	9	conj	acl														
																								
î+	и̂+	i	i	C		5	1	26	cc				And as she reached the age of maturity,											
éže+	е́же+	eže	iže	Pr-nsn		5	2	6	nsubj															
do+	до+	do	do	Sg		5	3	5	case															
sьvrьšenaʺgo	сьврьшена̏го	sъvrъšenago	svъrša	Amsgy		5	4	5	amod					1										
