text	cyrillic	diplomatic	lemma	PoS_tag	PoS_ext	sent_id	UD_id	UD_ncy	UD_type	UD_ext	page	folio	translation	eol	chapter	ref	desc	lat_header	cyr_header	lat_page_nr	cyr_page_nr	chunk	
																							
(n/a)									mrg													1	Title
																							
(S)lnce+	(С)лнце+	slnce	slъnce	Nnsnn		1	1	4	obj		179r	/img/petka/berl_179r.jpg	Аs the world has the sun	0	ber Berlin d. - Petka		<i>Berlin damaskin</i> <br/>Slav fol. 32, Library of Jagiello University, Cracow <br/>Moesian area, 1791			179r/*rp*	·рп·	2	Introduction
tò	то̀	to	tъ	Pd-nsn		1	2	1	det	p_nom													
kól'koto	ко́л͛кото	kolkoto	kolkoto	Pr		1	3	4	advmod														
ima	има	ima	imam	Vmip3si		1	4	0	root														
svě´tъ,	свѣ́тъ,	světъ	svět	Nmsnn		1	5	4	nsubj														
																							
tól'kozy	то́л͛козы	tolkozi	tolkozi	Pr		2	1	2	advmod				such is the rememberance of Reverend Petka to you										
e+	е+	e	sъm	Vaip3si		2	2	0	root														
ti	ти	ti	ti	Pp2-sn		2	3	2	obl														
na	на	na	na	Sa		2	4	6	case														
prpdbnaę	прпдбнаѧ	prpdbnaę	prepodoben	Afsny		2	5	6	amod														
pétka	пе́тка	petka	Petka	Nfsny		2	6	7	nmod	poss				1									
pámeta+	пáмета+	pameta	pamet	Nmsgn	Nmson	2	7	2	nsubj														
tъ˸	тъ˸	tъ	tъ	Pd-msn		2	8	7	det	p_nom													
																							
ako	ако	ako	ako	C		3	1	2	cc				if we (would) tell of her life shortly										
iskážim	искáжим	iskažim	izkaža	Vmip1pe		3	2	0	root														
po+	по+	po	po (2)	Qc		3	3	4	advmod														
tén'ko,	те́н͛ко,	tenko	tъnko	R		3	4	2	advmod														
néĭno+	не́йно+	neino	nein	Amson		3	5	7	amod	poss													
tъ	тъ	tъ	tъ	Pd-msn		3	6	5	det	p_adj													
živótъ,	живо́тъ,	životъ	život	Nmsnn		3	7	2	obj														
xódinïe	хо́динїе	xodinie	xodene	Nnsnn		3	8	2	obj				(about) her travelling	1									
to	то	to	tъ	Pd-nsn		3	9	8	det	p_nom													
ĭ,	й,	i	tja	Pp3fsd		3	10	9	nmod	poss													
i+	и+	i	i	C		3	11	14	cc				and her good works										
dobrí+	добри́+	dobri	dobъr	Afsnn		3	12	15	amod														
te+	те+	te	tъ	Pd-fpn		3	13	12	det	p_adj													
ì	ѝ	i	tja	Pp3fsd		3	14	15	nmod	poss													
rábotĭ,	рáботй,	raboti	rabota	Nfpnn		3	15	2	obj														
déto	де́то	deto	deto	Pr		3	16	6	mark				which she decided (to do) for the love of Christ										
zarad	зарад	zarad	zaradi	Sg		3	17	19	case														
xva	хва	xva	Xristov	Afsnn		3	18	19	amod	poss													
ljubóvъ	любо́въ	ljubovъ	ljubov	Nfsnn		3	19	20	obl														
pod'zè,	под͛зѐ,	podze	podvzema	Vmia3se		3	20	15	acl														
																							
ami+	ами+	ami	ami	C		4	1	7	cc				but who shall be able to describe her virtues, her works and miracles?										
kó_ĭ+	ко́_й+	koi	koi	Pq---n		4	2	7	nsubj					1									
štè	щѐ	šte	šta	Vaip3si		4	3	5	aux	fut													
da+	да+	da	da	C		4	4	3	fixed	inf													
móže	мо́же	može	moga	Vaip3si		4	5	7	aux														
da	да	da	da	C		4	6	5	fixed	inf													
iskáže	искáже	iskaže	izkaža	Vmip3se		4	7	0	root														
néĭni+	не́йни+	neini	nein	Afpnn		4	8	10	amod	poss													
te	те	te	tъ	Pd-fpn		4	9	8	det	p_adj													
póčestĭ,	по́честй,	počesti	počest	Nfpnn		4	10	7	obj														
ráboti	рáботи	raboti	rabota	Nfpnn		4	11	10	conj														
ì	ѝ	i	tja	Pp3fsd		4	12	11	nmod	poss													
i+	и+	i	i	C		4	13	14	cc														
čjudesa+	чюдеса+	čjudesa	čudo	Nnpnn		4	14	11	conj														
ta	та	ta	tъ	Pd-nsn		4	15	14	det	p_nom				1									
																							
i	и	i	i	C		5	1	5	cc				who shall tell of her good deeds, and protection, and helpings, and healings										
kóĭ+	ко́й+	koi	koi	Pq---n		5	2	5	nsubj														
šte	ще	šte	šta	Vaip3si		5	3	5	aux	fut													
da+	да+	da	da	C		5	4	3	fixed	inf													
káže,	кáже,	kaže	kaža	Vmip3se		5	5	0	root														
néĭni+	не́йни+	neini	nein	Afpnn		5	6	8	amod	poss													
te	те	te	tъ	Pd-fpn		5	7	6	det	p_adj													
dobrinì,	добринѝ,	dobrini	dobrina	Nfpnn		5	8	5	obj														
i+	и+	i	i	C		5	9	10	cc														
zakrílinïe,	закри́линїе,	zakrilinie	zakrilěne	Nnsnn		5	10	8	conj														
i+	и+	i	i	C		5	11	12	cc														
pómoštʺ	по́мощ̏	pomošti	pomošt	Nfpnn		5	12	10	conj					1									
i+	и+	i	i	C		5	13	14	cc														
celbí+	целби́+	celbi	cělba	Nfpnn		5	14	12	conj														
te,	те,	te	tъ	Pd-fpn		5	15	14	det	p_nom													
																							
da+	да+	da	da	C		6	1	2	aux	opt			(who shall be able) to tell her (deeds?)										
iz'rečè	из͛речѐ	izreče	izreka	Vmip3se		6	2	0	root														
néĭ,	не́й,	nei	tja	Pp3fsd		6	3	2	obl														
déto+	де́то+	deto	deto	Pr		6	4	20	mark				which (she) was doing in Epibates, and in Thrace, and in Tъrnovo, and in Moesia, and in Dalmatia										
gĭ	гй	gi	tě	Pp3-pa		6	5	20	obj														
na	на	na	na	Sl		6	6	7	case														
epivatъ,	епиватъ,	epivatъ	Epivat	Nmsnn		6	7	20	obl	loc													
i+	и+	i	i	C		6	8	10	cc														
na	на	na	na	Sl		6	9	10	case														
trákïa,	трáкїа,	trakia	Trakija	Nfsnn		6	10	7	conj														
i+	и+	i	i	C		6	11	13	cc														
na	на	na	na	Sl		6	12	13	case														
tъ´r'nov‚	тъ́р͛нов‚	tъrnov‚	Tъrnov	Nmsnn		6	13	10	conj					1									
i+	и+	i	i	C		6	14	16	cc														
na	на	na	na	Sl		6	15	16	case														
misï´a,	мисї́а,	misia	Mizija	Nfsnn		6	16	13	conj														
i+	и+	i	i	C		6	17	19	cc														
na	на	na	na	Sl		6	18	19	case														
dal'mátïę	дал͛мáтїѧ	dalmatię	Dalmatija	Nfsnn		6	19	16	conj														
struvaše,	стрꙋваше,	struvaše	struvam	Vmii3si		6	20	2	advcl														
																							
amì	амѝ	ami	ami	C		7	1	4	cc				but not only there										
ně´	нѣ́	ně	ne	Qz		7	2	3	amod														
