text	cyrillic	diplomatic	lemma	PoS_tag	PoS_ext	sent_id	UD_id	UD_ncy	UD_type	UD_ext	page	folio	translation	eol	chapter	ref	desc	lat_header	cyr_header	lat_page_nr	cyr_page_nr	chunk	
																							
Msca	Мсца	Mca	mesec	Nmsgn		1	1	3	nmod		255v	/img/petka/3312_255v.jpg	[Title] Month October 14	0	ion BAN 3312 - Petka		damaskin of pop Ioann of Vratsa <br /> № 3312, Scientific Archive of the Bulgarian Academy of Sciences, Sofia <br /> Vratsa, 1788					1	Title
wktomvria	ѡктомвриа	oktomvria	oktomvri	Nmsgn		1	2	1	appos														
*dı*	·дı·	*di*	14	Mc		1	3	0	root														
																							
žitïe	житïе	Žitie	žitie	Nnsnn		2	1	0	root				[Title] Life of our Reverend (Mother) Petka										
prepodbnïę	преподбнïѧ	prepodobnię	prepodoben	Afsgy		2	2	4	amod														
našei	нашеи	našei	naš	Afsdy		2	3	4	amod	poss				1									
petki.	петки.	Petki	Petka	Nfsgy		2	4	1	nmod	poss													
																							
wče	ѡче	oče	otec	Nmsvy		3	1	2	vocative				[Title] O Father, bless (us)										
blgsvi	блгсви	blgvi	blagoslovja	Vmm-2se		3	2	0	root														
																							
pročesti,,,	прочести,,,	pročesti	pročestja	Vmm-2se		4	1	0	root				[Title] to read	1									
																							
Egdà	Єгдà	Egda	egda	Pr		5	1	4	advmod				As (ʺwhenʺ) the sun shines everywhere,									2	Introduction
slnce	слнце	slnce	slъnce	Nnsnn		5	2	4	nsubj														
koliko	колико	koliko	kolkoto	Pq		5	3	6	advmod														
snęatь,	снѧать,	snęatъ	siěja	Vmip3si		5	4	0	root														
po+	по+	po	po	Sl		5	5	6	case														
vsudu,	всꙋдꙋ,	vsudu	vsjudu	R		5	6	4	advmod														
																							
tako	тако	tako	tako	Pr		6	1	7	advmod				so much does the (memory of) reverend mother Petka shine										
i-	и-	i	i	C		6	2	1	fixed					1									
prepodobnia	преподобниа	prepodobnia	prepodoben	Afsgy		6	3	4	amod														
mati	мати	mati	mati	Nfsny		6	4	7	nsubj														
Petki,	Петки,	Petki	Petka	Nfsgy		6	5	4	appos														
tako	тако	tako	tako	Pr		6	6	7	discourse														
prosveštaetь.	просвещаеть.	prosveštaetъ	prosveštam	Vmip3si		6	7	0	root					1									
																							
neĭno	нейно	neino	nein	Ansnn		7	1	2	amod	poss			Whose tongue could tell (of) her life and her holy relics, and her wonder with the fasting and with tears? 										
žitie	житие	žitie	žitie	Nnsnn		7	2	18	obj														
i+	и+	i	i	C		7	3	6	cc														
neini,	неини,	neini	nein	Afpnn		7	4	6	amod	poss													
sti	сти	sti	svęt	Afpnn		7	5	6	amod														
moštì,	мощѝ,	mošti	mošti	Nfpnn		7	6	2	conj														
i+	и+	i	i	C		7	7	9	cc														
neino	неино	neino	nein	Ansnn		7	8	9	amod	poss													
čudo	чꙋдо	čudo	čudo	Nnsnn		7	9	6	conj														
sьs	сьс	sъs	s	Si		7	10	11	case														
postь	пость	postъ	post	Nmsnn		7	11	18	obl														
i+	и+	i	i	C		7	12	14	cc														
sъs	със	sъsъ	s	Si		7	13	14	case					1									
slьzi.	сльзи.	slъzi	slъza	Nfpnn		7	14	11	conj														
koi	кои	koi	koi	Amsny		7	15	16	amod														
ezikь	езикь	ezikъ	ezik	Nmsnn		7	16	18	nsubj														
možetь	можеть	možetъ	moga	Vaip3si		7	17	18	aux														
izrešti.	изрещи.	izrešti	izreka	Vmn---e		7	18	0	root														
																							
kolika	колика	kolika	kolko	Pq		8	1	2	amod				How much virtue she showed in the land of Epibates and in the Thracian (land) and in and in Tъrnovo, and in Moesia, and in Dalmatia!										
dobrodetь	добродеть	dobrodetъ	dobrodětel	Nmsnn		8	2	3	obj					1									
pokaza,	показа,	pokaza	pokaža	Vmia3se		8	3	0	root														
na+	на+	na	na 	Sl		8	4	6	case														
epivatsko	епиватско	epivatsko	epivatski	Ansnn		8	5	6	amod														
mesto	место	mesto	mesto	Nnsnn		8	6	3	obl	loc													
i+	и+	i	i	C		8	7	9	cc														
na+	на+	na	na	Sl		8	8	9	case														
trakitskoe	тракитское	trakitskoe	trakiiski	Ansny		8	9	6	conj	loc													
i+	и+	i	i	C		8	10	11	cc														
trьnovь	трьновь	trъnovъ	Tъrnov	Nmsnn		8	11	9	conj	loc				1									
i+	и+	i	i	C		8	12	14	cc														
na+	на+	na	na	Sl		8	13	14	case														
