lemma	cyr	translation	category	semantic class	morphologic class	other notes	warnings	def
								
a								
acea		that	P		demonstrative			
aceasta								
această								
aceea								
acel								
acela								
același								
acelea								
aceluia								
acest								
acestea								
acestei								
aceștia								
aciiși								
acolo								
acoperămînt								
acum								
adânc								
adăuga								
adevărat								
aduce								
afla								
aici								
ajunge								
ajutor								
alb								
alt								
altă								
altă								
alteori								
altor								
am								
amin		amen						
amîndoi								
aminte								
an								
apostol		apostle						
aprinde								
aproape								
arăta								
arătare								
arde								
arhiereu								
așa								
ascunde								
astăzi								
așternut								
asupra								
asupra								
atâta								
ați								
atît								
atunci								
au								
aude								
auzi								
avea		have						
băga								
bărbătesc								
bărbătește								
bătaie								
bate								
beție								
bine								
biserică								
blagoslovit								
blînd								
bou								
bucura								
bucurie								
bun								
bună								
bunătate								
burie								
ca								
că								
căci								
cădea								
cal								
călători								
călca								
călugări								
călugărie								
când								
care								
carte								
casă								
cât								
cât								
cătră								
către								
căuta								
ce								
cea								
cel								
cela								
cele								
celui								
cer								
ceresc								
ceriu								
certare								
cheltuială								
chema								
chip								
ci								
cînd								
cine								
cinste								
cinsti								
cîntec								
cît								
cîte								
citi								
ciudesă								
corăbier								
credincios								
crește								
creștin								
cruce								
cu								
cum								
curăție								
curge								
curvie								
cuvânt								
cuvînt								
da								
dacă								
dănăoară								
dar		gift						
dată								
David		David						
de		of						
deci								
depreună								
desîrg								
despărțire								
despuietor								
despuitor								
destul								
dezbrăca								
diavol		devil						
din								
dinainte								
dintr-								
dintr-acei								
doar								
dobândi								
dobîndă								
dobîndi								
domn								
dormire								
doua								
două								
drăcesc								
dreptate								
duce								
duh								
dumnezeiesc								
Dumnezeu								
după								
după cum								
durea								
durere								
dvorbi								
ea								
Eftimie								
ei								
el								
ele								
Epivat		Epibates						
este								
eu								
Evanghelie								
face		do						
fapt								
faptă								
fără								
fecioară								
fecior								
fericit								
fetesc								
fi								
fie								
fire								
fiu								
foc								
folos								
folositor								
frumusețe								
Gheorghie		George						
greu								
grije								
groaznic								
grozliv								
haină								
hiară								
Hristos		Christ						
iar								
iară								
iarbă								
icoană								
ieși								
îinainte								
Iisus		Jesus						
îl								
ille								
Imadit								
îmbla								
îmi								
împărat								
împărăteasă								
împărăție								
împărți								
împrejur								
împutăciune								
împuțit								
în								
încă								
încai								
închinăciune								
îndrăznire								
îndrepta								
îndreptător								
îndulci								
îndura								
înfricoșător								
înfrumuseța								
îngădui								
înger								
îngeresc								
îngriji								
îngropa								
îngropat								
inimă								
ins								
îns								
însa								
însă								
însă								
întâmpina								
înțelept								
întîmpinare								
întîmpla								
întinde								
întoarce								
într								
într-								
într=acel								
intra								
într-aceași								
într-același								
întru								
într-un								
întunecat								
învăță								
învățătură								
iscusit								
își								
îți								
iubi								
iubit		love						
iubitor								
izvor		source						
jelanie		wish						
joc								
jos								
