text	cyrillic	diplomatic	lemma	PoS_tag	PoS_ext	sent_id	UD_id	UD_ncy	UD_type	UD_ext	page	folio	translation	eol	chapter	ref	desc					chunk	
																							
Mcъ	Мцъ	Mcъ	mesec	Nmsnn		1	1	3	nmod		96v	/img/petka/ljub_96v.jpg	[Title] 14th (day of the) month October	0	lju Ljub.d. - Petka		<i>Ljubljana damaskin</i> <br />Cod. Kop. 21, National and University Library of Slovenia, Ljubljana <br />Kotel-Elena area, around 1700 <br/>source: library website, <a target=_blank href=http://www.dlib.si/?URN=URN:NBN:SI:IMG-GYHYKDPK>link</a>					1	Title
wktóm'vrïe	ѡкто́м͛врїе	oktomъvrie	oktomvri	Nmsgn		1	2	1	appos														
*di*	·ди·	*di*	14	Mc		1	3	0	root														
																							
žítïe	жи́тїе	žitie	žitie	Nnsnn		2	1	0	root				[Title] The Life of our Reverend Mother Petka of Tъrnovo	1									
prpodobnye	прподобные	prpodobnie	prepodoben	Afsgy		2	2	3	amod														
mtre	мтре	mtre	mati	Nfsgy		2	3	1	nmod														
náše	нáше	naše	naš	Afsdn		2	4	3	amod	poss													
pét'ky	пе́т͛кы	petъki	Petka 	Nfsgy		2	5	3	appos														
trь´_nov'skye.	трь́_нов͛скые.	trъnovъskie	tъrnovski	Afsgy		2	6	5	amod					1									
																							
blsvì	блсвѝ	blsvi	blagoslovja	Vmm-2si		3	1	0	root				[Title] Father, bless the (readers) by the prayers of the saints										
óče	о́че	oče	otec	Nmsvy		3	2	1	vocative														
sx	сх	sx	soxraniti	Vmm-2se		3	3	1	obj														
za+	за+	za	za	Sa		3	4	5	case														
mltvь	млтвь	mltvъ	molitva	Nfpgn		3	5	1	obl														
styx	стых	stix	svęt	Ampgy		3	6	5	nmod	poss				1									
																							
slnce	слнце	slnce	slъnce	Nnsnn		4	1	3	obj				As the world has Sun to shine									2	Introduction
kólkoto	ко́лкото	kolkoto	kolkoto	Pr		4	2	3	advmod														
íma	и́ма	ima	imam	Vmip3si		4	3	0	root														
svě´tь	свѣ́ть	světъ	svět	Nmsnn		4	4	3	nsubj														
i+	и+	i	i	C		4	5	6	cc														
svě´ti.	свѣ́ти.	světi	světja	Vmip3si		4	6	3	conj					1									
																							
