text	cyrillic	diplomatic	lemma	PoS_tag	PoS_ext	sent_id	UD_id	UD_ncy	UD_type	UD_ext	page	folio	translation	eol	chapter	ref	desc	lat_header	cyr_header	lat_page_nr	cyr_page_nr	chunk	
																							
Mca	Мца	mca	mesec	Nmsgn		1	1	3	nmod	poss	30v	/img/petka/709_30v.jpg	[Title] The same month (October) 14	0	709 NBKM 709 - Petka	uploaded on 14.10.2021 for the glory of St. Petka	a damaskin from Sliven <br/>№ 709, National Library ʺSv. Sv. Kirill i Metodiiʺ, Sofia <br/>Sliven, late 17th century					1	Title
togo	того	togo	tъ	Pd-msg		1	2	1	det	p_nom													
*dı*	·дı·	*dı*	14	Mc		1	3	0	root														
																							
žítïe	жи́тїе	žitie	žitie	Nnsnn		2	1	0	root				[Title] The Life of our Reverend Mother Petka of Tаrnovo										
prpo_dobnïe	прпо_добнїе	prpodobnie	prepodoben	Afsgy		2	2	3	amod					1									
mátere	мáтере	matere	mati	Nfsdy		2	3	1	nmod														
náši	нáши	naši	naš	Afsgy		2	4	3	amod	poss													
pétky	пе́ткы	petki	Petka	Nfsgy		2	5	3	appos														
trьnov'sky.:.	трьнов͛скы.:.	trьnovski	tъrnovski	Amsny		2	6	5	amod					1									
																							
Slnce	Слнце	slnce	slъnce	Nnsnn		3	1	3	obj				as the world has Sun to shine									2	Introduction
kol'koto	кол͛кото	kolkoto	kolkoto	Pr		3	2	3	advmod														
ima	има	ima	imam	Vmip3s		3	3	0	root														
svě´tь	свѣ́ть	světъ	svět	Nmsnn		3	4	3	nsubj														
i+	и+	i	i	C		3	5	6	cc														
svě´_ti	свѣ́_ти	světi	světja	Vmip3s		3	6	3	conj					1									
																							
tol'kozi	тол͛кози	tolkozi	tolkozi	Pr		4	1	6	advmod				so much (shines) the remembrance of our Reverend Petka, which has enlightened the whole world										
i+	и+	i	i	C		4	2	6	cc														
na+	на+	na	na	Sa		4	3	5	case														
prpodbna	прподбна	prpodbna	prepodoben	Afsnn		4	4	5	amod														
pet'ka	пет͛ка	petka	Petka	Nfsny		4	5	6	obl	poss				1									
pámetь	пáметь	pametъ	pamet	Nfsnn		4	6	0	root														
što+	що+	što	što	Pr		4	7	9	mark														
e	е	e	sъm	Vaip3s		4	8	9	aux														
prosvětíla	просвѣти́ла	prosvětila	prosvětja	Vmp--se	Afsnn	4	9	6	acl							Demina et al. 728: prosvětja 1. prosvetna, započna da svetja, zasijaja, 2. osvetja, napravja nešto tъmno da stane svetlo, 3. prosvetlee, stane svetlo, 4. prosvetja, dam njakomu jasnota, razbirane, znanija							
po+	по+	po	po	Sl		4	10	12	case														
síčkïi	си́чкїи	sičkii	vsičъk	Amsny		4	11	12	amod					1									
svě´tь	свѣ́ть	světъ	svět	Nmsnn		4	12	9	obl														
																							
neíno	неи́но	neino	nein	Ansnn		5	1	2	amod				which tongue could retell all of her miracles and her fasting?										
čjúdo	чю́до	čjudo	čudo	Nnsnn		5	2	9	obj														
i+	и+	i	i	C		5	3	5	cc														
neínь	неи́нь	neinъ	nein	Amsnn		5	4	5	amod														
pos	пос	pos	post	Nmsnn		5	5	2	conj														
koí	кои́	koi	koi	Amsnn		5	6	7	amod					1									
ézikь	е́зикь	ezikъ	ezik	Nmsnn		5	7	9	nsubj														
móže	мо́же	može	moga	Vaip3s		5	8	9	aux														
iskáza	искáза	iskaza	izkaža	Vmn		5	9	0	root														
što+	що+	što	što	Pr		5	10	13	mark				what goodness she did on the Earth										
è	ѐ	e	sъm	Vaip3s		5	11	13	aux														
tïjaʺ	тїꙗʺ	tija	tja	Pp3fsn		5	12	13	nsubj														
stórïla	сто́рїла	storila	storja	Vmp--se	Afsnn	5	13	2	acl					2									
dobrodě´telь	добродѣ́тель	dobrodětelъ	dobrodětel	Nmsnn		5	14	13	appos		31r	/img/petka/709_31r.jpg						stěi pétki	стѣи пе́тки	*ne*	·не·		
na+	на+	na	na	Sl		5	15	16	case														
zémlja	зе́млꙗ	zemlja	zemlja	Nfsnn		5	16	13	obl														
na+	на+	na	na	Sl		5	17	19	case				in the land of the town of Epibates										
epivát'sko	епивáт͛ско	epivatsko	epivatski	Ansnn		5	18	19	amod					1									
mě´sto,	мѣ́сто,	město	město	Nnsnn		5	19	13	appos														
i+	и+	i	i	C		5	20	22	cc				and in the Thracian (land)										
na+	на+	na	na	Sl		5	21	22	case														
trakïisko,	тракїиско,	trakiisko	trakijski	Ansnn		5	22	19	conj														
i+	и+	i	i	C		5	23	25	cc				and in Tarnovo										
na+	на+	na	na	Sl		5	24	25	case														
trь´novь	трь́новь	trъnovъ	Tъrnovo	Nmsnn		5	25	22	conj					1									
i+	и+	i	i	C		5	26	28	cc				and in Moesia										
na+	на+	na	na	Sl		5	27	28	case														
mísïa.	ми́сїа.	misia	Misija	Nfsnn		5	28	25	conj														
i+	и+	i	i	C		5	29	31	cc				and in Dalmatia										
na+	на+	na	na	Sl		5	30	31	case														
dal'mati	дал͛мати	dalmati	Dalmatija	Nfsnn		5	31	28	conj														
i+	и+	i	i	C		5	32	37	cc				and not merely in those lands										
ne+	не+	ne	ne	Qz		5	33	34	amod														
tьkmô	тькмо̂	tъkmo	tъkmo	R		5	34	36	amod														
po	по	po	po	Sl		5	35	37	case					1									
tïa	тїа	tia	tezi	Pd-npn		5	36	37	det														
mě´sta.	мѣ́ста.	města	město	Nnpnn		5	37	31	conj														
ami	ами	ami	ami	C		5	38	42	cc				but all over the world?										
i+	и+	i	i	C		5	39	38	fixed														
po+	по+	po	po	Sl		5	40	42	case														
síčki	си́чки	sički	vsičъk	Amsny		5	41	42	amod														
svě´tь	свѣ́ть	světъ	svět	Nmsnn		5	42	37	conj														
																							
dé_to	де́_то	deto	deto	Pr		6	1	7	advmod				our mind cannot reach there	1									
nášь	нáшь	našъ	naš	Amsnn		6	2	3	amod														
oumь	оумь	oumъ	um	Nmsnn		6	3	7	nsubj														
ne+	не+	ne	ne	Qz		6	4	5	advmod														
móže	мо́же	može	moga	Vaip3s		6	5	7	aux														
da+	да+	da	da	C		6	6	5	fixed														
postígne.	пости́гне.	postigne	postigna	Vmip3s		6	7	0	root					1									
ili	или	ili	ili	C		6	8	12	cc				or our language cannot tell of all her miracles and goodness and fasting and tears										
ézikь	е́зикь	ezikъ	ezik	Nmsnn		6	9	12	nsubj														
nášь	нáшь	našъ	naš	Amsnn		6	10	9	amod														
da+	да+	da	da	C		6	11	12	aux														
iskáže	искáже	iskaže	izkaža	Vmip3s		6	12	7	conj														
sičkó	сичко́	sičko	vsičъk	Ansnn		6	13	16	amod					1									
to	то	to	to	Pd-nsn		6	14	13	det	p_adj													
neíno	неи́но	neino	nein	Ansnn		6	15	16	amod														
čjúdo	чю́до	čjudo	čudo	Nnsnn		6	16	1	appos														
i+	и+	i	i	C		6	17	18	cc														
dobrô	добро̂	dobro	dobro	Nnsnn		6	18	16	conj														
i+	и+	i	i	C		6	19	20	cc														
pos	пос	pos	post	Nmsnn		6	20	18	conj														
i+	и+	i	i	C		6	21	22	cc														
slьzì.	сльзѝ.	slъzi	slъza	Nfpnn		6	22	20	conj					1									
																							
ami	ами	ami	ami	C		7	1	8	cc				but only as much as our mind could comprehend										
tьkmô	тькмо̂	tъkmo	tъkmo	R		7	2	3	advmod														
kólkoto	ко́лкото	kolkoto	kolkoto	Pr		7	3	6	advmod														
nášь	нáшь	našъ	naš	Amsnn		7	4	5	amod														
umь	ꙋмь	umъ	um	Nmsnn		7	5	6	nsubj					1									
postígna,	пости́гна,	postigna	postigna	Vmia3s		7	6	8	advcl														
i+	и+	i	i	C		7	7	8	cc				and so I, Euthymius, Patriarch of Tъrnovo, wrote what I knew										
napisax	написах	napisax	napiša	Vmia3s		7	8	0	root														
ázь	áзь	azъ	az	Pp1-sn		7	9	8	nsubj														
eϋtímïe	еѷти́мїе	eѵtimie	Evtimij	Nmsny		7	10	9	appos					1									
patrïárxь	патрїáрхь	patriarxъ	patriarx	Nmsny		7	11	9	appos														
trьnóvskïi	трьно́вскїи	trъnovskii	tъrnovski	Amsny		7	12	11	amod														
štô	що̂	što	što	Pr		7	13	14	mark														
znájaxь.	знáꙗхь.	znajaxъ	znaja	Vmii3s		7	14	8	advcl					1									
																							
ami	ами	ami	ami	C		8	1	6	cc				but also you, blessed Christians, do hear										
i+	и+	i	i	C		8	2	1	fixed														
vïe	вїе	vie	vie	Pp2-pn		8	3	6	vocative														
blsveny	блсвены	blsveni	blagosloven	Ampnn		8	4	5	amod														
xrstïane.	хрстїане.	xrstiane	xristianin	Nmpny		8	5	3	appos														
poslúšaite.	послꙋ́шаите.	poslušaite	posluša	Vmm-2p		8	6	0	root					1									
																							
Tázi	Тáзи	tazi	tazi	Pd-fsn		9	1	5	det				that Saint and Reverend Petka was from the land of Epibates									3	Petka's Childhood
