text	cyrillic	diplomatic	lemma	PoS_tag	PoS_ext	sent_id	UD_id	UD_ncy	UD_type	UD_ext	folio	folio	translation	eol	chapter	ref	desc	lat_header	cyr_header	lat_page_nr	cyr_page_nr	chunk	
																							
Žītīe	Жӥтӥе	Žitie	žitie	Nnsnn		1	1	0	root		7r	/img/petka/728_7r.png	[Title] Life (of) the Reverend Parascheva	0	728 NBKM 728 - Petka		fragment of a damaskin <br/>№ 728, National Library ʺSv. Sv. Kirill i Metodiiʺ, Sofia <br/>Thessalonike, ca. 1820s					1	Title
prepodobnaę	преподобнаѧ	prepodobnaę	prepodoben	Afsny		1	2	3	amod														
paraskeva	параскева	paraskeva	Paraskeva	Nfsny		1	3	1	nmod	poss				1									
																							
vsěxъ	всѣхъ	vsěxъ	vsě	Ampgy		2	1	7	nsubj				All those of the Orthodox faith, let us praise God and His saints!									2	Introduction
pravoslavnaę	православнаѧ	pravoslavnaę	pravoslaven	Afsny		2	2	3	amod														
věra	вѣра	věra	věra	Nfsnn		2	3	5	obl	poss													
što+	що+	što	što	Pq		2	4	5	mark														
sme	сме	sme	sъm	Vmip1pi		2	5	1	acl					1									
da+	да+	da	da	C		2	6	7	aux	opt													
pofalīme	пофалӥме	pofalime	poxvalja	Vmip1pe		2	7	0	root														
boga	бога	boga	bog	Nmsgy		2	8	7	obj														
ī+	ӥ+	i	i	C		2	9	10	cc														
svetcī	светцӥ	svetci	svętec	Nmpny		2	10	8	conj														
božī	божӥ	boži	božii	Ampnn		2	11	10	amod	poss													
																							
to_va	то_ва	tova	tova	Pd-nsn		3	1	3	nsubj				that is important for us	1									
namъ	намъ	namъ	nie	Pp1-pd		3	2	3	obl	iobj													
potrebno+	потребно+	potrebno	potreben	Ansnn		3	3	0	root														
estъ	естъ	estъ	sъm	Vmip3si		3	4	3	cop														
																							
tīę+	тӥѧ+	tię	toja	Pd-mpn		4	1	3	det	ext			these saints, whom we celebrate										
svetīxъ	светӥхъ	svetixъ	svęt	Ampgy		4	2	3	amod					1									
ugodnīcī	ꙋгоднӥцӥ	ugodnici	ugodnik	Nmpny		4	3	11	nsubj														
što+	що+	što	što	Pq		4	4	6	mark														
gī	гӥ	gi	tě	Pp3-pa		4	5	6	obj														
praznuvame	празнꙋваме	praznuvame	praznuvam	Vmip1pi		4	6	3	acl														
ī+	ӥ+	i	i	C		4	7	9	cc				these people had (really) lived										
tīę	тӥѧ	tię	toja	Pd-mpn		4	8	9	det	ext				1									
ljudī+	людӥ+	ljudi	ljudie	Nmpny		4	9	3	appos														
bīle	бӥле	bile	sъm	Vap--pi		4	10	11	aux	pprf													
žīveale	жӥвеале	živeale	živeja	Vmpi-pi		4	11	0	root	prf													
																							
bīle	бӥле	bile	sъm	Vap--pi		5	1	0	root				they were (the same) as us										
kako+	како+	kako	kako	Pq		5	2	3	mark														
nasъ	насъ	nasъ	nie	Pp1-pg		5	3	1	advcl					1									
																							
a+	а+	a	a	C		6	1	3	cc				and now they have (ʺwere havingʺ?) praise both from God and from us										
sega	сега	sega	sega	R		6	2	3	advmod														
īmaa	ӥмаа	imaa	imam	Vmii3pi		6	3	0	root														
pofala	пофала	pofala	poxvala	Nfsnn		6	4	3	obj														
ī+	ӥ+	i	i	C		6	5	7	cc														
wtъ	ѿъ	otъ	ot	Sg		6	6	7	case														
boga+	бога+	boga	bog	Nmsgy		6	7	3	obl	abl													
ī+	ӥ+	i	i	C		6	8	10	cc														
