text	cyrillic	diplomatic	lemma	PoS_tag	PoS_ext	sent_id	UD_id	UD_ncy	UD_type	UD_ext	page	folio	translation	eol	chapter	ref	desc	lat_header	cyr_header	lat_page_nr	cyr_page_nr	chunk	
																							
Skazánıe	Сказáнıе	skazanie	skazanie	Nnsnn		1	1	0	root		184v	/img/petka/ne_184v.jpg	[Title] Story about the life of our Reverend Mother Parascheva of Tarnovo	0	ned Nedelnik 1806 - Petka		<i>Kyriakodromion sireč Nedělnik</i> of Sophronius, Bishop of Vratsa <br/> Râmnic: Metropolitan printing house, 1806 <br /> source: World Digital Library, <a href='https://www.wdl.org/en/item/273/'>link</a>					1	Title
o	о	o	o (2)	Sl		1	2	3	case														
žitıe	житıе	žitie	žitie	Nnsnn		1	3	1	obl														
prépodobnyę	пре́подобныѧ	prepodobnyę	prepodoben	Afsgy		1	4	5	amod					1									
matere	матере	matere	mati	Nfsgy		1	5	3	nmod	poss													
našeę	нашеѧ	našeę	naš	Afsgy		1	6	5	amod	poss													
Paraskeѵi	Параскеѵи	Paraskevi	Paraskeva	Nfsgy		1	7	5	appos														
Térnovskïę	Те́рновскїѧ	Ternovskię	Tъrnovski	Afsgy		1	8	7	amod					1									
																							
slovo	слово	slovo	slovo	Nnsnn		2	1	0	root				[Title] Chapter 60										
*ѯ*	·ѯ·	*ѯ*	60	Mc		2	2	1	nummod														
																							
Blgoslovì	Блгословѝ	blgoslovi	blagoslovja	Vmm-2si		3	1	0	root				Father, bless (the reader)!										
oče	оче	oče	otec	Nmsvy		3	2	1	vocative														
																							
pročestì	прочестѝ	pročesti	pročeta	Vmn---e		4	1	0	root				to read (aloud)	1									
																							
Vsę´kogi	Всѧ́коги	Vsękogi	vsěkoga	Pi		5	1	2	amod				We are obliged, my hearers, to remember the Lord and praise His saints every time									2	Introduction
dólžni	до́лжни	dolžni	dъlžen	Ampnn		5	2	0	root														
esmỳ	есмы̀	esmi	sъm	Vmip1pi		5	3	2	cop														
slíšateli	сли́шатели	slišateli	slušatel	Nmpny		5	4	2	vocative														
móĭ,	мо́й,	moi	moi	Ampny		5	5	4	amod	poss													
da	да	da	da	C		5	6	7	mark														
pomęnúvamę	помѧнꙋ́вамѧ	pomęnuvamę	pomenuvam	Vmip1pi		5	7	2	acl														
Gga,	Гга,	Gga	Gospod	Nmsgy		5	8	7	obj														
i+	и+	i	i	C		5	9	11	cc														
da	да	da	da	C		5	10	11	mark					1									
po_Xválęme	по_Хвáлѧме	poXvalęme	poxvaljam	Vmip1pi		5	11	7	conj														
stýxъ	сты́хъ	stixъ	svęt	Ampgn		5	12	11	obj														
