text	cyrillic	diplomatic	lemma	PoS_tag	PoS_ext	sent_id	UD_id	UD_ncy	UD_type	UD_ext	page	folio	translation	eol	chapter	ref	desc					chunk	
																							
V+	В+	v	v	Sl		1	1	3	case		582v	/img/petka/r_582v.jpg	[Title] On the same day	0	ros Rostovski 1689 - Petka		<i>Kniga žitii s[vę]tyxь</i> of Demetrius of Rostov <br/>Kiev: Lavra Pecherskaa, 1689 <br/>source: Austrian National Library, <a href=https://onb.digital/result/10A11141>link</a>	Mc͒a Októmvrïa vъ *dı* dñь	Мц͒а Окто́мврїа въ ·дı· дн҃ь			1	Title
tóĭže	то́йже	toi	tъ	Pd-msn		1	2	3	det	ext													
dn҃ь.	дн҃ь.	dnъ	den	Nmsnn		1	3	0	root					1									
																							
Žitıe	Житıе	žitie	žitie	Nnsnn		2	1	0	root				[Title] Life of our Reverend Mother Parascheva										
Prpd҃bnyę	Прпд҃бныѧ	prpdbnyę	prěpodoben	Afsgy		2	2	3	amod														
Matẽrẽ	Матẽрẽ	matere	mati	Nfsgy		2	3	1	nmod	poss													
Nãšeę	Нãшеѧ	našeę	naš	Afsgy		2	4	3	amod	poss				1									
Pãrãskẽvıĩ.	Пãрãскẽвıĩ.	paraskevii	Paraskeva	Nfsgy		2	5	3	appos					2									
																							
(n/a)									mrg													2	Introduction
																							
Vъ	Въ	vъ	vъ	Sl		3	1	2	case		583r	/img/petka/r_583r.jpg	In the land of Serbia, next to the city of Kallikratia, there was a village called Epibates					♣	♣	*spg*	·спг·	3	Petka's Childhood
zemli	земли	zemli	zemli	Nfsdn		3	2	7	obl	loc													
serbskoĭ,	сербской,	serbskoi	srьbski	Afsdy		3	3	2	amod														
blizъ	близъ	blizъ	bliz	Sg		3	4	5	case														
grada	града	grada	grad	Nmsgn		3	5	7	obl														
Kalikrátıę,	Каликрáтıѧ,	Kalikratię	Kalikratia	Nfsnn		3	6	5	appos														
bě	бѣ	bě	byti	Vmii3si		3	7	0	root					1									
vésь	ве́сь	vesъ	ves	Nfsnn		3	8	7	nsubj														
naricáemaę	нарицáемаѧ	naricaemaę	naricati	Afsny	Vmpp-si	3	9	8	acl														
Épıvatъ,	Є́пıватъ,	Epivatъ	Epivat	Nmsnn		3	10	9	pred	obl													
																							
v'+	в͛+	vъ	v	Sl		4	1	3	case				in that village, the holy reverend Parascheve was born to pious parents										
tóĭ	то́й	toi	tъ	Pd-fsd		4	2	3	det														
Vési	Ве́си	vesi	ves	Nfsdn		4	3	4	obl	loc													
rodí+	роди́+	rodi	roditi	Vmia3se		4	4	0	root														
sę	сѧ	sę	sę	Px---a		4	5	4	expl					1									
st҃áę	ст҃áѧ	staę	svęt	Afsny		4	6	9	amod														
î	и̂	i	i	C		4	7	8	cc														
Prpd҃bnaę	Прпд҃бнаѧ	prpdbnaę	prěpodoben	Afsny		4	8	6	conj														
Paraskévïa,	Параске́вїа,	paraskevia	Paraskeva	Nfsny		4	9	4	nsubj														
wt	ѿ	ot	ot	Sg		4	10	11	case														
rodíteleĭ	роди́телей	roditelei	roditel	Nmpgy		4	11	4	obl	abl													
bl҃go-čestívyxъ,	бл҃го-чести́выхъ,	blgočestivyxъ	blagočestiv	Ampgy		4	12	11	amod					1									
xodę́štixъ	ходѧ́щихъ	xodęštixъ	xoditi	Ampgy	Vmpp-pia	4	13	11	acl				following all the Divine commands without going astray										
vo+	во+	vo	vo	Sl		4	14	16	case														
vsě́xъ	всѣ́хъ	vsěxъ	vse	Ampgy		4	15	16	amod														
zápwvědexъ	зáпѡвѣдехъ	zapovědexъ	zapověd	Nmpgn		4	16	13	obl	loc													
Bž҃ıixъ	Бж҃ıихъ	bžiixъ	božii	Ampgy		4	17	16	amod	poss				1									
ne+	не+	ne	ne	Qz		4	18	19	advmod														
uklónno,	ꙋкло́нно,	uklonno	uklonno	R		4	19	13	advmod														
ml͒tinęmi	мл͒тинѧми	mlstinęmi	milostinja	Nfpin		4	20	25	obl				making their lives beautiful by alms and good deeds										
î	и̂	i	i	C		4	21	22	cc														
bl҃gotvorén'mi	бл҃готворе́н͛ми	blgotvorenъmi	blagotvorenie	Nfpin		4	22	20	conj														
vsju	всю	vsju	vse	Afsay		4	23	26	amod														
svojù	свою̀	svoju	svoi	Afsay		4	24	26	amod	poss													
oûkra-šájuštix'	оꙋ̂кра-шáющих͛	oukrašajuštixъ	oukrašati	Afpgy	Vmpp-pia	4	25	13	conj					1									
žíznь:	жи́знь:	žiznь	žiznь	Nfsnn		4	26	25	obj														
																							
ʾí+	҆и́+	i	je	Pp3-pn		5	1	5	nsubj				and they raised this good, pure dove of Christ in good manners										
že	же	že	že	Qd		5	2	5	cc														
î	и̂	i	i	C		5	3	7	amod														
sı´ju	сı́ю	siju	sii	Pd-fsa	prox	5	4	7	det														
vospitáša	воспитáша	vospitaša	vъspitati	Vmia3pe		5	5	0	root														
čs҃tuju	чс҃тꙋю	čstuju	čist	Afsay		5	6	7	amod														
Golubı´cu	Голꙋбı́цꙋ	golubicu	golubica	Nfsay		5	7	5	obj					1									
Xv҃u	Хв҃ꙋ	xvu	Xristov	Afsan		5	8	7	amod	poss													
v'+	в͛+	vъ	v	Sl		5	9	11	case														
podóbněxъ	подо́бнѣхъ	podobněxъ	podoben	Ampln		5	10	11	amod														
nrávěxъ,	нрáвѣхъ,	nravěxъ	nrav	Nmpln		5	11	5	obl	loc													
																							
î	и̂	i	i	C		6	1	9	cc				and after they taught her the Divine Law well										
zákonu	зáконꙋ	zakonu	zakon	Nmsdn		6	2	6	obl	iobj													
Bž҃ıju	Бж҃ıю	bžiju	božii	Amsdn		6	3	2	amod	poss													
dóbrě	до́брѣ	dobrě	dobrě	R		6	4	6	advmod														
tu	тꙋ	tu	tъ	Pd-fsa		6	5	6	obj					1									
nakazávše,	наказáвше,	nakazavše	nakazati	Vmpa-pea	Ampnn	6	6	9	advcl														
v'	в͛	vъ	v	Sa		6	7	10	case				they went over to the heavenly dwellings										
Nb͒nyę	Нб͒ныѧ	nbsnyę	nebesen	Afpny		6	8	10	amod														
preĭdẃša	прейдѡ́ша	preidoša	prěiti	Vmia3pe		6	9	0	root														
ôbíteli,	о̂би́тели,	obiteli	obitel	Nfpnn		6	10	9	obl	lat													
naslědnicu	наслѣдницꙋ	naslědnicu	naslědnik	Nfsay		6	11	13	obl	iobj			leaving Petka as the heiress to their house behind, together with (her) brother Euthymius	1									
dómu	до́мꙋ	domu	dom	Nmsdn	Nmsgn	6	12	11	nmod	poss													
ŵstávl'še	ѡ̂стáвл͛ше	ostavlъše	ostaviti	Vmpa-pea	Ampnn	6	13	9	advcl														
Paraskévïju	Параске́вїю	paraskeviju	Paraskeva	Nfsay		6	14	13	obj														
sъ	съ	sъ	s	Si		6	15	16	case														
Brátomъ	Брáтомъ	bratomъ	brat	Nmsiy		6	16	13	obl														
Eѵѳímïemъ,	Єѵѳи́мїемъ,	eѵѳimiemъ	Evtimii	Nmsiy		6	17	16	appos					1									
ʾí+	҆и́+	i	jь	Pp3msn		6	18	19	nmod				who afterwards became the bishop of Madit										
že	же	že	že	Qd		6	19	23	mark														
poslě́žde	послѣ́жде	poslěžde	poslěžde	R		6	20	23	advmod														
Ep͒pъ	Єп͒пъ	epspъ	episkop	Nmsny		6	21	23	obl	pred													
Madítu	Мади́тꙋ	Maditu	Madit	Nmsdn		6	22	21	nmod	poss													
bystь,	бысть,	bystь	byti	Vmia3se		6	23	16	acl														
																							
î	и̂	i	i	C		7	1		cc				and he did there many famous miracles										
mnwga	мнѡга	mnoga	mnog	Anpnn		7	2	7	amod														
î	и̂	i	i	C		7	3	4	cc														
pre-slávna	пре-слáвна	preslavna	prěslaven	Anpnn		7	4	2	conj					1									
