text	cyrillic	diplomatic	lemma	PoS_tag	PoS_ext	sent_id	UD_id	UD_ncy	UD_type	UD_ext	page	folio	translation	eol	chapter	ref	desc					chunk	
																							
===	===	===	===	X		1	0	0	root		5v	/img/petka/52k-5v.jpg		0	52k Plovdiv State Archive 52K.1.1378 - Petka		folk damaskin of Stojo Šiškov<br/>Territorial State Archive, Plovdiv, № 52K оп. 1, а.е. 143<br/>Klisura, before 1813<br/>f. 5v-7v<br/>					1	Title
(n/a)									mrg														
(n/a)									mrg													2	Introduction
(n/a)									mrg													3	Petka's Childhood
(n/a)									mrg													4	Desert Life
(n/a)									mrg													5	Struggle with the Devil
(n/a)									mrg													6	Petka in Blachernae
(n/a)									mrg													7	Death of Petka
(n/a)									mrg													8	Discovery of the Relics
(n/a)									mrg													9	Recovery of the Relics
																							
Vreme	Време	vreme	vreme	Nnsnn		2	1	0	root													10	Franks in Tsarigrad
belenue	беленꙋе	belenue	belen	Ansny		2	2	1	amod				(Then came?) a time of sorrow (?)			Likely a relative adj. from <i>beljá</i> 'pakost, beda' (< tr. <i>belâ</i>, cf. BAN I 42)							
																							
i+	и+	i	i	C		3	1	3	cc				And the Greek (kingdom) became weak again										
pa	па	pa	pa	C		3	2	3	advmod														
wtslabnaxa	ѿслабнаха	otslabnaxa	oslabna	Vmii3pe		3	3	0	root														
grečeskoe	греческое	grečeskoe	grъcki	Ansny		3	4	3	nsubj					1									
																							
dudoxa	дꙋдоха	dudoxa	doida	Vmii3pe		4	1	0	root				The Franks came										
frencí	френци́	frenci	frenci	Nmpny		4	2	1	nsubj														
																							
ísplíníxa	и́спли́ни́ха	isplinixa	izpъlnja	Vmii3pe		5	1	0	root				The fathers filled the city										
ẅtci	ѡ̈тци	otci	otec	Nmpny		5	2	1	nsubj							The writer seems to have chosen the wrong abbreviation instead of <i>cri</i> (as Tsarigrad is being invaded in other versions)							
gratъ	гратъ	gratъ	grad	Nmsnn		5	3	1	obj														
																							
ka_tu	ка_тꙋ	katu	katu	C		6	1	2	advmod				As Prophet David says:	1									
rečí	речи́	reči	reči	Vmia3se		6	2	0	root														
prroka+	пррока+	prroka	prorok	Nmsoy	Nmsgy	6	3	2	nsubj														
t	т	t	tъ	Pd-msn		6	4	3	det	p_nom													
dv+	дв+	dv	David	Nmsnn		6	5	3	appos														
																							
etí	ети́	eti	eti	Qg		7	1	3	discourse				ʺLook, Zion, rod of iron!ʺ										
síonъ	си́онъ	sionъ	Sion	Nmsnn		7	2	3	vocative														
palící	пали́ци́	palici	palica	Nfsdn		7	3	0	root														
železna	железна	železna	železen	Afsnn		7	4	3	amod					1									
																							
upleníxa	ꙋплени́ха	uplenixa	uplenja	Vmii3pe		8	1	0	root				The Franks looted Tsarigrad										
frenci	френци	frenci	frenci	Nmpny		8	2	1	nsubj														
carí_gratъ	цари́_гратъ	carigratъ	Carigrad	Nmsnn		8	3	1	obj														
																							
í+	и́+	i	i	C		9	1	2	cc				And they took all the silver and gold in churches and monasteries										
ubraxa	ꙋбраха	ubraxa	obera	Vmii3pe		9	2	0	root														
síčko	си́чко	sičko	vsičъk	Ansnn		9	3	4	amod					1									
strábro	стрáбро	strabro	srebro	Nnsnn		9	4	2	obj														
í+	и́+	i	i	C		9	5	6	cc														
zlato	злато	zlato	zlato	Nnsnn		9	6	4	conj														
pu+	пꙋ+	pu	po	Sd		9	7	8	case														
čerkví+	черкви́+	čerkvi	čerkova	Nfpnn		9	8	2	obl														
te	те	te	tъ	Pd-fpn		9	9	8	det	p_nom													
í+	и́+	i	i	C		9	10	12	cc														
pu+	пꙋ+	pu	po	Sd		9	11	12	case														
manastírę	манасти́рѧ	manastirę	manastir	Nmpan	Nmsgn	9	12	8	conj					1									
																							
í+	и́+	i	i	C		10	1	2	cc				And they subdued the Greek people										
ízrobíxa	и́зроби́ха	izrobixa	izrobja	Vmia3pe		10	2	0	root														
grackí	грацки́	gracki	grъcki	Amsny		10	3	4	amod														
rotъ	ротъ	rotъ	rod	Nmsnn		10	4	2	obj														
																							
katu	катꙋ	katu	kato	C		11	1	2	mark				As the Tsarigradians, that is, Istanbulis, thus suffered, they wept for days										
dučękaxa	дꙋчѧкаха	dučękaxa	dočakam	Vmii3pe		11	2	11	advcl														
crje_graždení+	црѥ_граждени́+	crjegraždeni	carograždanin	Nmpny		11	3	2	nsubj					1									
te	те	te	tъ	Pd-mpn		11	4	3	det	p_nom													
síe	си́е	sie	sii	Pd-nsn		11	5	6	det														
rečъ	речъ	rečъ	reč	Nfsnn		11	6	7	mark														
stanbolí+	станболи́+	stanboli	stanbulin	Nmpny		11	7	3	acl														
te	те	te	tъ	Pd-mpn		11	8	7	det	p_nom													
í+	и́+	i	i	C		11	9	11	cc														
dní	дни́	dni	den	Nmpnn		11	10	11	obl														
plača_xa	плача_ха	plačaxa	plača	Vmii3pi		11	11	0	root					1									
																							
i+	и+	i	i	C		12	1	2	cc				And they spoke										
dumaxa	дꙋмаха	dumaxa	dumam	Vmii3pi		12	2	0	root														
																							
ta+	та+	ta	ta	C		13	1	3	cc				And they prayed to God:										
sa	са	sa	se	Px---a		13	2	3	expl														
molíxa	моли́ха	molixa	molja	Vmii3pi		13	3	0	root														
bgu	бгꙋ	bgu	bog	Nmsdy		13	4	3	obl	iobj													
																							
gsdi	гсди	gsdi	Gospod	Nmsvy		14	1	4	vocative				ʺO Lord, why (ʺwhereʺ) did you forget our misery?ʺ										
gsdí	гсди́	gsdi	Gospod	Nmsvy		14	2	1	discourse														
ka_dę	ка_дѧ	kadę	kъde	Pq		14	3	4	advmod					1									
zabraví	забрави́	zabravi	zabravja	Vmia3se		14	4	0	root														
naše	наше	naše	naš	Ansnn		14	5	6	amod	poss													
sarmušíe	сармꙋши́е	sarmušie	siromašija	Nnsnn		14	6	4	obj														
																							
ízbaví+	и́збави́+	izbavi	izbavja	Vmm-2se		15	1	0	root				ʺO Lord, free us from the accursed Franksʺ										
ní	ни́	ni	nie	Pp1-pa		15	2	1	obj														
gsdí	гсди́	gsdi	Gospod	Nmsvy		15	3	1	vocative					1									
otъ	отъ	otъ	ot	Sg		15	4	6	case														
prokletí	проклети́	prokleti	prokъlna	Ampnn	Vmpa-pe	15	5	6	amod														
frencí	френци́	frenci	frenci	Nmpny		15	6	1	obl	abl													
																							
í+	и́+	i	i	C		16	1	3	cc				And the God wanted to make the Christian nation of Bulgaria famous									11	Conquests of John Asen
togazí	тогази́	togazi	togazi	Pr		16	2	3	advmod														
poíska	пои́ска	poiska	poiskam	Vmia3se		16	3	0	root					1									
bgъ	бгъ	bgъ	bog	Nmsny		16	4	3	nusbj														
da+	да+	da	da	C		16	5	6	mark														
proslaví	прослави́	proslavi	proslavja	Vmip3si		16	6	3	advcl														
rotъ	ротъ	rotъ	rod	Nmsnn		16	7	6	obj														
xrstenckí	хрстенцки́	xrstencki	xristianski	Amsny		16	8	7	amod														
bugackí	бꙋгацки́	bugacki	bъlgarski	Amsny		16	9	8	conj					1									
glasъ	гласъ	glasъ 	glas	Nmsnn		16	10	7	discourse							?							
																							
í+	и́+	i	i	C		17	1	5	cc				And in that time there was the honorable, and Christ-loving, and alone-ruling Bulgarian father John Asen, son of old Bulgarian (king Asen)			Like above in a sentence concerning Tsarigrad, again <i>wtcь</i> is used instead of <i>crь</i>							
va+	ва+	va	v	Sa		17	2	4	case														
tuva	тꙋва	tuva	tova	Pd-nsn		17	3	4	det	ext													
vreme	време	vreme	vreme	Nnsnn		17	4	5	obl														
beše	беше	beše	sъm	Vmii3si		17	5	0	root														
blgočestí	блгочести́	blgočesti	blagočestiv	Amsny		17	6	12	amod														
í	и́	i	i	C		17	7	8	cc					1									
xrstoljubiví	хрстолюбиви́	xrstoljubivi	xristoljubiv	Amsny		17	8	6	conj														
í+	и́+	i	i	C		17	9	10	cc														
samudarževní	самꙋдаржевни́	samudarževni	samodъržaven	Amsny		17	10	8	conj														
bulgarckí	бꙋлгарцки́	bulgarcki	bъlgarski	Amsny		17	11	10	conj														
wcъ	ѡцъ	ocъ	otec	Nmsny		17	12	5	nsubj					1									
iẅanъ	иѡ̈анъ	ioanъ	Ioan	Nmsny		17	13	12	appos														
asenъ	асенъ	asenъ	Asěn	Nmsny		17	14	13	appos														
snъ	снъ	snъ	sin	Nmsny		17	15	14	appos														
starímu	стари́мꙋ	starimu	star	Amsdy		17	16	17	amod														
bulgarckímu	бꙋлгарцки́мꙋ	bulgarckimu	bъlgarski	Amsdy		17	17	15	nmod	poss				1									
																							
krepku+	крепкꙋ+	krepku	krepъk	R		18	1	3	advmod				He held the kingdom fast										
í	и́	i	i	C		18	2	3	discourse														
dražeše	дражеше	dražeše	dъrža	Vmii3si		18	3	0	root														
crstvw	црствѡ	crstvo	carstvo	Nnsnn		18	4	3	obj														
																							
í+	и́+	i	i	C		19	1	4	cc				And it came to him by the holy command to capture the unbelievers			Tixon.d.: <i>ami ednakь mu prilegna vrěme voiska da vdigne da plěnuva ne+čьstivi i da prěema zemlja mnogo</i>							
ednak+	еднак+	ednak	ednak	R		19	2	4	advmod														
mu	мꙋ	mu	toi	Pp3msd		19	3	4	obl	iobj													
prí_legna	при́_легна	prilegna	prilegna	Vmia3se		19	4	0	root					1									
st_ímъ	ст_и́мъ	stimъ	svęt	Amsiy		19	5	6	amod														
poveleníemъ	повелени́емъ	poveleniemъ	povelenie	Nnsin		19	6	4	obl														
da+	да+	da	da	C		19	7	8	mark														
plení	плени́	pleni	plenja	Vmip3si		19	8	4	advcl														
