text	cyrillic	diplomatic	lemma	PoS_tag	PoS_ext	sent_id	UD_id	UD_ncy	UD_type	UD_ext	page	folio	translation	eol	chapter	ref	desc	lat_header	cyr_header	lat_page_nr	cyr_page_nr	chunk	
																							
Mca	Мца	mca	mesec	Nmsgn		1	1	3	nmod		54r	/img/petka/54r.JPG	[Title] 14th (day of) the same month (October)	0	tix Tixon.d. - Petka		<i>Tixonravov damaskin</i> <br/>ОР Ф.299 № 702, Russian National Library, Moscow <br/>Lukovit-Etropol area, ca. 1660 <br/> source: library website, <a href='https://lib-fond.ru/lib-rgb/299/f-299-702'>link</a>					1	Title
togò	того̀	togo	tъ	Pd-msg		1	2	1	det	p_nom													
*di*	·ди·	*di*	14	Mc		1	3	0	root														
																							
žítïe	жи́тїе	žitie	žitie	Nnsnn		2	1	0	root				[Title] The Life of our Reverend Mother Petka of Tъrnovo										
prpdbnye	прпдбные	prpbnie	prepodoben	Afsgy		2	2	3	amod					1									
matere	матере	matere	mati	Nfsdy		2	3	1	nmod														
nášee	нáшее	našee	naš	Afsgy		2	4	3	amod	poss													
pet'ky	пет͛кы	petki	Petka	Nfsgy		2	5	3	appos														
trьnov'skye	трьнов͛скые	trъnovskie	tъrnovski	Afsgy		2	6	5	amod														
																							
blsvì	блсвѝ	blsvi	blagoslovja	Vmm-2si		3	1	0	root				Father, bless (us)										
oč	оч	oč	otec	Nmsvy		3	2	1	vocative					1									
																							
Slnce	Слнце	slnce	slъnce	Nnsnn		4	1	3	obj				as the world has Sun to shine									2	Introduction
kól'koto	ко́л͛кото	kolkoto	kolkoto	Pr		4	2	3	advmod														
ima	има	ima	imam	Vmip3si		4	3	0	root														
svě´tь	свѣ́ть	světъ	svět	Nmsnn		4	4	3	nsubj														
i+	и+	i	i	C		4	5	6	cc														
svě´ti	свѣ́ти	světi	světja	Vmip3si		4	6	3	conj														
																							
tól'_kozi	то́л͛_кози	tolkozi	tolkozi	Pr		5	1	6	advmod				so much (shines) the remembrance of our Reverend Petka, which has enlightened the whole world	1									
i+	и+	i	i	C		5	2	6	cc														
na	на	na	na	Sa		5	3	5	case														
prpodóbnaa	прподо́бнаа	prpodobnaa	prepodoben	Afsny		5	4	5	amod														
pét'ka	пе́т͛ка	petka	Petka	Nfsny		5	5	6	nmod	poss													
pámétь	пáме́ть	pametъ	pamet	Nfsnn		5	6	0	root							něstь glagola							
što+	що+	što	što	Pq		5	7	10	mark														
