text	Cyrillic	diplomatic	lemma	PoS_tag	PoS_ext	sent_id	UD_id	UD_ncy	UD_type	UD_ext	page	folio	translation	eol	chapter	ref	desc					chunk	
																							
LUNA+	ЛꙊНА+	luna	luna	Nfson		1	1	5	nmod		46	/img/varlaam/cazania46.jpg	[Title] on 14th day of Month October	0	caz Cazania lui Varlaam 1643 - Petka	CS text - Zogr 172	<i>Carte Românească de Învăţătură</i> of Varlaam Moţoc, Metropolite of Moldavia <br/>Iaşi: Metropolitan printing house, 1643 <br/>source: Central Library of the University of Cluj "Lucian Blaga", <a href='http://dspace.bcucluj.ro/handle/123456789/67727'>link</a><br/>editors: Dumitru Chihai, Cristina Bleorţu, Olivier Winistörfer, Mihaela Lorelai Anghel Ciurea					1	Title
WKTOVRïE+	ѠКТОВРїЄ+	octovrie	octombrie	Nmsnn		1	2	1	appos														
î+	ꙟ+	î	în	S		1	3	5	case														
PATRUSPRъŹĚČE	ПАТРꙊСПРъЅѢЧЄ	patrusprezece	patrusprezece	Ml		1	4	5	nummod					1									
źile.	ѕиле.	zile	zi	Nfpnn		1	5	0	root														
																							
îvъcǫturǫ.	ꙟвъцѫтꙋрѫ.	învățătură	învățătură	Nfsnn		2	1	0	root				[Title] Homily on the Life of our Reverend Mother Parascheva			žitïe i žiznь prpdbnyǫ matere našę paraskevi							
De+	Де+	De	de	S		2	2	3	case														
vïaca	вїаца	viața	viața	Nfson		2	3	1	nmod														
Prěkuvïwase+	Прѣкꙋвїѡасе+	precuvioase	precuvios	Afsd		2	4	6	amod														
i	и	i	ul	Pd-fsd		2	5	4	det	p_adj				1									
Maiče+	Маиче+	Maice	maică	Nfsdy		2	6	3	nmod	poss													
i	и	i	ul	Pd-fsd		2	7	6	det	p_nom													
Noastre	Ноастре	noastre	nostru	Afsd		2	8	6	amod														
Paraskeva.	Параскева.	Parascheva	Parascheva	Nfsoy		2	9	3	appos					1									
(n/a)	(n/a)	(n/a)	(n/a)						mrg													2	Introduction
																							
Ačasta	Ачаста	aceasta	acest	Pd-fsn		3	1	2	amod				This holy and reverend girl Paraskeva was from a farm in Epibates 			Sïa ubo sïa prpdbnaa otčsьstvo iměaše epïvaty.						3	Petka's Childhood
Svъntǫ	Свънтѫ	sfântă	sfînt	Afsn		3	2	6	amod														
ši	ши	și	și	C		3	3	2	cc														
Prěkuvïwasǫ	Прѣкꙋвїѡасѫ	precuvioasă	precuvios	Afsn		3	4	2	conj					1									
fečoarǫ,	фечоарѫ,	fecioară	fecioară	Nfsny		3	5	6	appos														
Paraskeva.	Параскева.	Parascheva	Parascheva	Nfsoy		3	6	7	nsubj														
era	ера	era	fi	Vmii3s		3	7	0	root														
de+	де+	de	de	S		3	8	9	case														
mošïe	мошїе	moșie	moșie	Nfsnn		3	9	7	obl					1									
di_î+	ди_ꙟ+	di	din	S		3	10	11	case														
epivat.	епиват.	epivat	Epivat	Nmsnn		3	11	9	nmod														
																							
nǫskutǫ	нѫскꙋтѫ	născută	născut	Afsn		4	1	20	acl				Born to devout and well Christian parents, she dedicated herself to God with compassion and good deeds.			roditele i blgočьstivěišix i bgoljubezněišix sǫšti otrasli. {xodęštïixь vь vsěxь bžïixь zapovědex neuklonno.							
diî+	диꙟ+	diin	din	S		4	2	3	case														
pǫrici	пѫрици	părinți	părinte	Nmpny		4	3	1	obl					1									
kredinčoši	крединчоши	credincioși	credincios	Ampn		4	4	3	amod														
ši	ши	și	și	C		4	5	6	cc														
kreštini	крещини	creștini	creștin	Nmpny		4	6	3	conj														
buni,	бꙋни,	buni	bun	Ampn		4	7	6	amod														
î_tru+	ꙟ_трꙋ+	întru	întru	S		4	8	10	case					1									
