text	cyrillic	diplomatic	lemma	PoS_tag	PoS_ext	sent_id	UD_id	UD_ncy	UD_type	UD_ext	page	folio	translation	eol	chapter	ref	desc	lat_header	cyr_header	lat_page_nr	cyr_page_nr	chunk	chunk_desc
																							
Žítijè	Жи́тиѥ̀	žitije	žitie	Nnsnn		1	1	0	root		191r	/img/petka/000385.jpg	[Title] Life and living of our Reverend Mother Petka	0	vuk Vuković 1536 - Petka	reconstructions: Novaković 1877, Kałužniacki 1901, NBKM 665	<i>Zbornik za putnike</i> of hieromonk Moisei <br/>Venice: Božidar Vuković, 1536 <br/>source: Library of Matica Srpska, Novi Sad (<a href='http://digital.bms.rs/ebiblioteka/pageFlip/reader/index.php?type=publications&id=2269&m=2#page/384/mode/2up'> link</a>)					1	Title
i+	и+	i	i	C		1	2	3	cc														
žíznь	жи́знь	žiznъ	žiznь	Nfsnn		1	3	1	conj														
prěpodw´bnyʺje	прѣподѡ́бны̏ѥ	prěpodobnije	prepodoben	Afsgy		1	4	5	amod														
(mtre)	(мтре)	mtre	mati	Nfsgy		1	5	1	nmod	poss				1									
náše	нáше	naše	naš	Afsgn		1	6	5	amod	poss													
Pétky	Пе́ткы	Petki	Petka	Nfsgy		1	7	5	appos														
																							
Vъ+	Въ+	vъ	v	Sl		2	1	2	case				[Title] Containing also her translation to the city of Tarnovo										
njém'že	нѥ́м͛же	njemъže	iže	Pr-msl		2	2	0	root														
i+	и+	i	i	C		2	3	4	advmod														
kako	како	kako	kako	Pq		2	4	5	mark														
(prěne)_sena	(прѣне)_сена	prěnesena	prenesa	Vmpa-se	Afsnn	2	5	2	acl	pass				1									
byst	быст	byst	sъm	Vaia3si		2	6	5	aux	pass													
vь+	вь+	vъ	v	Sa		2	7	8	case														
grádъ	грáдъ	gradъ	grad	Nmsnn		2	8	5	obl														
trь´novь.	трь́новь.	trъnovъ	Tъrnov	Nmsnn		2	9	8	appos														
																							
Sъ(pisano)	Съ(писано)	sъpisano	sъpiša	Vmpa-se	Ansnn	3	1	0	root	pass			[Title] Written by Euthymius, Patriarch of Tarnovo										
