text	cyrillic	diplomatic	lemma	PoS_tag	PoS_ext	sent_id	UD_id	UD_ncy	UD_type	UD_ext	page	folio	translation	eol	chapter	ref	desc					chunk	
																							
Oktomvrija	Октомвриꙗ	Oktomvrija	oktomvri	Nmsgn		1	1	2	nmod		256	/img/petka/x_256.JPG	[Title] October 14th	0	xru Nedelnik 1856 - Petka		<i>Evangelie Poučitelno</i> of Sophronius, Bishop of Vratsa <br />second edition of the <i>Nedělnik</i>, translated by Todor Xrulev <br />Novi Sad: Dr. Dan. Medakov, 1856 <br /> source: National Library ʺSv. Sv. Kirill i Metodiiʺ, Sofia, <a href=http://82.147.128.134:8082/show-sk/?id=310>link</a>					1	Title
14.	14.	14	14	Md		1	2	0	root					1									
																							
Za	За	Za	za	Sa		2	1	3	case				[Title] About St. Parascheva										
Světaja	Свѣтаꙗ	Světaja	svęt	Afsny		2	2	3	amod														
Paraskeva.	Параскева.	Paraskeva	Paraskeva	Nfsny		2	3	0	root					1									
																							
Divenъ	Дивенъ	Divenъ	diven	Amsnn		3	1	2	amod				You, God, are awesome in your saints; the God of Israel			Ps 67:36 NIV							
bogъ	богъ	bogъ	bog	Nmsny		3	2	0	root														
vo	во	vo	v	Sl		3	3	4	case														
světyxъ	свѣтыхъ	světixъ	svęt	Ampgy		3	4	2	obl	loc													
svoixъ,	своихъ,	svoixъ	svoi	Ampgy		3	5	4	amod	poss				1									
bogъ	богъ	bogъ	bog	Nmsny		3	6	2	appos														
izrailevъ.	израилевъ.	izrailevъ	izrailev	Amsnn		3	7	6	amod	poss				1									
																							
Blagoslovi	Благослови	Blagoslovi	blagoslovja	Vmm-2se		4	1	0	root				Father, bless (us)!										
otče!	отче!	otče!	otec	Nmsvy		4	2	1	vocative					1									
																							
Blagočestivi	Благочестиви	Blagočestivi	blagočestiv	Ampnn		5	1	2	amod				blessed Christians, we receive a great merit, when we remember God's miracles and praise His saints									2	Introduction
xristïani,	христïани,	xristiani	xristianin	Nmpny		5	2	15	vocative														
koga	кога	koga	koga	Pq		5	3	4	mark														
pomenuvame	поменꙋваме	pomenuvame	pomenuvam	Vmip1pi		5	4	15	advcl														
bažii+	бажии+	bažii	božii	Anpnn		5	5	7	amod	poss													
tě	тѣ	tě	tъ	Pd-npn		5	6	5	det	p_adj													
čudesa	чꙋдеса	čudesa	čudo	Nnpnn		5	7	4	obj														
i	и	i	i	C		5	8	9	cc														
poxvalęva-me	похвалѧва-ме	poxvalęvame	poxvaljam	Vmip1pi		5	9	4	conj					1									
negovy+	неговы+	negovi	negov	Ampnn		5	10	12	amod														
te	те	te	tъ	Pd-mpn		5	11	10	det	p_adj													
svęti,	свѧти,	svęti	svęt	Ampnn		5	12	9	obj														
golěmǫ	голѣмѫ	golěmǫ	golěm	Afsan		5	13	15	amod														
polzǫ	ползѫ	polzǫ	polza	Afsan		5	14	15	obj														
prïemame	прïемаме	priemame	priemam	Vmip1pi		5	15	0	root														
																							
i	и	i	i	C		6	1	5	cc				and we are pleasing to God, when we live rightfully like the saints, when he follow God's commandements as they (did)										
na	на	na	na	Sa		6	2	3	case														
boga	бога	boga	bog	Nmsgy		6	3	5	obl	iobj													
byvame	бываме	bivame	byvam	Vmip1pi		6	4	5	cop														
u-godni	у-годни	ugodni	ugoden	Ampnn		6	5	0	root					1									
ako	ако	ako	ako	C		6	6	7	mark														
živěeme	живѣеме	živěeme	živěja	Vmip1pi		6	7	5	advcl														
pravedno	праведно	pravedno	pravedno	R		6	8	7	advmod														
kato	като	kato	kato	C		6	9	10	mark														
svęti+	свѧти+	svęti	svęt	Ampnn		6	10	7	nsubj														
tě,	тѣ,	tě	tъ	Pd-mpn		6	11	10	det	p_adj													
i	и	i	i	C		6	12	14	cc														
ako	ако	ako	ako	C		6	13	14	mark														
xodime	ходиме	xodime	xodja	Vmip1pi		6	14	7	conj														
po	по	po	po	Sl		6	15	18	case														
božii+	божии+	božii	božii	Ampnn		6	16	18	amod	poss													
tě	тѣ	tě	tъ	Pd-mpn		6	17	16	det	p_adj				1									
zapovědi	заповѣди	zapovědi	zapověd	Nmpnn		6	18	14	obl	loc													
kato	като	kato	kato	C		6	19	20	mark														
těxъ.	тѣхъ.	těxъ	tě	Pp3-pg		6	20	14	nsubj														
																							
Zaštoto	Защото	Zaštoto	zaštoto	C		7	1	4	cc				because they always had the fear of God on their minds										
tě	тѣ	tě	tě	Pp3-pn		7	2	4	nsubj														
sěkoga	сѣкога	sěkoga	vsěkogi	R		7	3	4	advmod														
imali	имали	imali	imam	Vmp--pi		7	4	0	root	prf													
božiĭ	божий	božii	božii	Amsny		7	5	6	amod														
straxъ	страхъ	straxъ	strax	Nmsnn		7	6	4	obj														
na	на	na	na	Sl		7	7	8	case														
uma	ума	uma	um	Nmsgn		7	8	4	obl	loc				1									
si,	си,	si	si	Px---d		7	9	8	nmod	poss													
																							
i	и	i	i	C		8	1	2	cc				and they followed His commandements										
xodili	ходили	xodili	xodja	Vmp--pi		8	2	0	root	prf													
po	по	po	po	Sl		8	3	6	case														
negovy+	неговы+	negovi	negov	Ampnn		8	4	6	amod	poss													
te	те	te	tъ	Pd-mpn		8	5	4	det	p_adj													
zapovědi.	заповѣди.	zapovědi	zapověd	Nmpnn		8	6	2	obl	loc													
																							
Za	За	Za	za	Sa		9	1	2	case				for that reason also God made their body famous with miracles, and their soul with beauty										
tuĭ	тꙋй	tui	tъi	R		9	2	5	advmod														
i	и	i	i	C		9	3	4	amod														
Bogъ	Богъ	Bogъ	bog	Nmsny		9	4	5	nsubj														
proslavi	прослави	proslavi	proslavja	Vmia3se		9	5	0	root														
tělo+	тѣло+	tělo	tělo	Nnsnn		9	6	5	obj														
to	то	to	tъ	Pd-nsn		9	7	6	det	p_nom				1									
imъ	имъ	imъ	te	Pp3-pd		9	8	6	nmod	poss													
s	с	s	s	Si		9	9	10	case														
čudesa,	чꙋдеса,	čudesa	čudo	Nnpnn		9	10	5	obj														
a	а	a	a	C		9	11	12	cc														
duša+	дꙋша+	duša	duša	Nfsny		9	12	6	conj														
tǫ	тѫ	tǫ	tъ	Pd-fsa		9	13	12	det	p_nom													
imъ	имъ	imъ	te	Pp3-pd		9	14	12	nmod	poss													
sъ	съ	sъ	s	Si		9	15	16	case														
krasotǫ.	красотѫ.	krasotǫ	krasota	Nfsan		9	16	5	obl														
																							
Tǫĭ	Тѫй	Tǫi	tъi	R		10	1	20	advmod				thus, we, too, when we follow God's commandements and live purely, then our feasts become pleasing to God and His saints										
i	и	i	i	C		10	2	3	amod														
nïe	нïе	nie	nie	Pp1-pn		10	3	5	nsubj														
koga	кога	koga	koga	Pq		10	4	5	mark														
xodime	ходиме	xodime	xodja	Vmip1pi		10	5	20	advcl														
po	по	po	po	Sl		10	6	9	case					1									
božii+	божии+	božii	božii	Ampnn		10	7	9	amod	poss													
tě	тѣ	tě	tъ	Pd-mpn		10	8	7	det	p_nom													
zapovědi	заповѣди	zapovědi	zapověd	Nmpnn		10	9	5	obl	loc													
i	и	i	i	C		10	10	11	cc														
živěeme	живѣеме	živěeme	živěja	Vmip1pii		10	11	5	conj														
čisto,	чисто,	čisto	čisto	R		10	12	11	advmod														
