text	cyrillic	diplomatic	lemma	PoS_tag	PoS_ext	sent_id	UD_id	UD_ncy	UD_type	UD_ext	page	folio	translation	eol	chapter	ref	desc	lat_header	cyr_header	lat_page_nr	cyr_page_nr	chunk	
																							
žitïe	житїе	žitie	žitie	Nnsnn		1	1	0	root		74r	/img/petka/z74r.jpg	[Title] Life and living of our Reverend Mother Parascheva	0	zgr Zogr. 107 - Petka		<i>Zograph Miscellany</i><br/>№ 107 of the Zograph Monastery, Mt. Athos<br/>late 14th c., Bulgaria					1	Title
î+	и̂+	i	i	C		1	2	3	cc														
žíznь+	жи́знь+	žiznъ	žiznь	Nfsni		1	3	1	conj														
prpdbnyǫ+	прпдбныѫ+	prpdbnyǫ	prepodoben	Afsgy		1	4	5	amod														
matere+	матере+	matere	mati	Nfsgy		1	5	1	nmod	poss													
nášę+	нáшѧ+	našę	naš	Afsgn		1	6	5	amod	poss													
para_skevî.	пара_скеви̂.	paraskevi	Paraskeva	Nfsgy		1	7	5	appos					1		The form of the name common in this edition goes back Greek sg.nom <i>Parasxeѵē</i>, rather than the CS sg.gen *<i>Paraskevy</i> - the <i>i</i> and <i>y</i> are very systematically distinguished. The name is not inflected for other cases.							
																							
vь+	вь+	vъ	v	Sl		2	1	2	case				[Title] Containing also her translation to the city of Tarnovo										
nemže+	немже+	nemže	iže	Pr-msl		2	2	0	root														
î+	и̂+	i	i	C		2	3	4	advmod														
kako+	како+	kako	kako	Pq		2	4	5	mark														
prěneséna+	прѣнесе́на+	prěnesena	prenesa	Vmpa-se	Afsnn	2	5	2	acl	pass													
bys+	бы͒+	bys	sъm	Vaia3si		2	6	5	aux	pass													
vь+	вь+	vъ	v	Sa		2	7	9	case														
prě_slávnyi.	прѣ_слáвныи.	prěslavnyi	preslaven	Amsny		2	8	9	amod					1									
grad+	град+	grad	grad	Nmsnn		2	9	5	obl														
trъnovь.	тръновь.	trъnovъ	Tъrnov	Nmsnn		2	10	9	appos														
																							
sъpisanw	съписанѡ	sъpisano	sъpiša	Vmpa-se	Ansnn	3	1	0	root	pass			[Title] Written by Euthymius, Patriarch of Tarnovo	1									
(kѵrь)	(кѵрь)	kѵrъ	kir	Nmsny		3	2	1	obl														
eѵѳѵ´mïemь+	еѵѳѵ́мїемь+	eѵѳѵmiemъ	Evtimii	Nmsdy		3	3	2	appos														
patrïárxwmь+	патрїáрхѡмь+	patriarxomъ	patriarx	Nmsdy		3	4	3	appos														
trъnw_vskyimь.	трънѡ_вскыимь.	trъnovskyimъ	tъrnovski	Amsdy		3	5	4	amod					1									
																							
blagoslwvî	благослѡви̂	blagoslovi	blagoslovja	Vmm-2se		4	1	0	root				[Title] o Father, bless (the reader)!										
ʾwč҃e†	҆ѡч҃е†	oče†	otec	Nmsvy		4	2	1	vocative					1									
																							
Ašte+	Аще+	Ašte	ašte	C		5	1	4	cc				If the Law of Love sets the custom to remember the memory of loving ones			Ако законът на любовта отрежда да си спомняме за обичните,						2	Introduction
ŭbw+	ꙋ̆бѡ+	ubo	ubo	C		5	2	1	fixed														
ljubw´vnyi+	любѡ́вныи+	ljubovnyi	ljuboven	Amsny		5	3	4	nsubj														
ʾw´byče	҆ѡ́быче	obyče	obikna	Vmia3se		5	4	28	advcl														
zákwnь+	зáкѡнь+	zakonъ	zakon	Nmsnn		5	5	4	obj														
ʾéže+	҆е́же+	eže	iže	Pr-nsn		5	6	9	mark														
ljubéznyix+	любе́зныих+	ljubeznyix	ljubezen	A-pgy		5	7	8	nmod	poss													
pá_męti	пá_мѧти	pamęti	pamet	Nfsgn		5	8	9	obj					1									
pomínati.	поми́нати.	pominati	pomena	Vmn---i		5	9	4	advcl														
ʾi+	҆и+	i	i	C		5	10	12	cc				and to reflect their image and deeds and words			да съзерцаваме техните образи, дела и думи,							
těx+	тѣх+	těx	tě	Pp3-pg		5	11	13	nmod	poss													
sъzrъcováti+	съзръцовáти+	sъzrъcovati	sъzrъcovati	Vmn---i		5	12	9	conj														
ʾw´brazy+	҆ѡ́бразы+	obrazy	obraz	Nmpan		5	13	12	obj														
ʾi	҆и	i	i	C		5	14	15	amod					1									
děánïá+	дѣáнїá+	děania	dejanie	Nnpnn		5	15	13	conj														
že+	же+	že	že	Qd		5	16	15	cc														
ʾi+	҆и+	i	i	C		5	17	18	cc														
gl҃y.	гл҃ы.	gly	glagol	Nmpan		5	18	15	conj														
mnwžíceǫ+	мнѡжи́цеѫ+	množiceǫ	množica	Nfsin		5	19	24	advmod				and the more to draw their images,			а често пъти дори и да рисуваме образите им,							
že+	же+	že	že	Qd		5	20	24	cc														
ʾi+	҆и+	i	i	C		5	21	23	amod														
těx+	тѣх+	těx	tě	Pp3-pg		5	22	23	nmod	poss													
podbïa+	подбїа+	podbia	podobie	Nnsgn		5	23	24	obj														
živw_piswvati,	живѡ_писѡвати,	živopisovati	živopisovati	Vmn---i		5	24	12	conj					1									
mnwgw+	мнѡгѡ+	mnogo	mnogo	R		5	25	26	advmod				it would be considered many times better, and showing the desirable love to God very much			то за боголюбезните е много, извънредно много по-уместно и желателно,							
páč(e)+	пáч(е)+	pače	pače	R		5	26	27	advmod														
mnwžae+	мнѡжае+	množae	mnogo	Rc		5	27	28	advmod														
kljúčimo+	клю́чимо+	ključimo	ključiti	Vmpp-se	Ansnn	5	28	0	root	pass													
bǫdet+	бѫдет+	bǫdet	bъda	Vmip3se		5	29	28	aux	pass													
ʾi+	҆и+	i	i	C		5	30	33	cc														
źě_lw+	ѕѣ_лѡ+	źělo	zělo	R		5	31	32	advmod					1									
želátelno+	желáтелно+	želatelno	želatelen	R		5	32	33	advmod														
bgoljubéznyimь,	бголюбе́зныимь,	bgoljubeznyimъ	bogoljubezen	Amsiy		5	33	28	conj														
eˇže+	ӗже+	eže	iže	Pr-nsn		5	34	38	mark				to duly honor those who pleased God, and to tell about their rememberance and deeds for our blessing.			когато почитаме с уважение божите угодници и за полза разказваме за тяхната памет и [за техните] деяния.							
bžïixъ+	бжїихъ+	bžiixъ	božii	Ampgy		5	35	36	amod														
ûgw´_dnikъ+	ꙋ̂гѡ́_дникъ+	ugodnikъ	ugodnik	Nmpgy		5	36	38	obj					1									
čъstně+	чъстнѣ+	čъstně	čestno	R		5	37	38	advmod														
počítati,	почи́тати,	počitati	počitam	Vmn---i		5	38	28	advcl														
ʾi+	҆и+	i	i	C		5	39	46	cc														
tě´x+	тѣ́х+	těx	tě	Pp3-pg		5	40	41	nmod	poss													
pamęti+	памѧти+	pamęti	pamet	Nfsgn		5	41	46	obj														
ʾi+	҆и+	i	i	C		5	42	43	cc														
děánïa	дѣáнїа	děania	dejanie	Nnpnn		5	43	41	conj					1									
na+	на+	na	na	Sa		5	44	45	case														
pw´lźǫ+	пѡ́лѕѫ+	polźǫ	polza	Nfsan		5	45	46	obl														
pověstvovati•	повѣствовати•	pověstvovati	pověstvovati	Vmn---i		5	46	38	conj														
																							
ne+	не+	ne	ne	Qz		6	1	2	amod				For the word about blessing creates not a small blessing to the hearers.			Защото словото за полезното допринася на слушателите немалка полза.							
málǫ+	мáлѫ+	malǫ	malo	R		6	2	6	amod														
bw+	бѡ+	bo	bo	C		6	3	4	cc														
vьtvárěet	вьтвáрѣет	vъtvarěet	vъtvarjati	Vmip3si		6	4	0	root					1									
slyšatelemь+	слышателемь+	slyšatelemъ	slyšatel	Nmpdy		6	5	4	obl	iobj													
pw´lźǫ+	пѡ́лѕѫ+	polźǫ	polza	Nfsan		6	6	4	obj														
ʾéže+	҆е́же+	eže	iže	Pr-nsn		6	7	9	mark														
ʾo+	҆о+	o	o (2)	Sl		6	8	9	case														
pw´lźi+	пѡ́лѕи+	polźi	polza	Nfsdn		6	9	10	acl														
slóvw•	сло́вѡ•	slovo	slovo	Nnsnn		6	10	4	nsubj														
																							
ʾjako_že+	҆ꙗко_же+	jakože	jakože	R		7	1	10	mark				For when Sun in the times of spring spreads its rays over the all Earth	1		Както пролетно време всички животни растат и тлъстеят, като стават все по-хубави, щом слънчевите лъчи огреят цялата земя,							
bw`+	бѡ̀+	bo	bo	C		7	2	14	cc														
sln҃cu+	слн҃цꙋ+	slncu	slъnce	Nnsdn		7	3	10	nsubj														
vь+	вь+	vъ	v	Sl		7	4	6	case														
prwlětnyǫ+	прѡлѣтныѫ+	prolětnyǫ	prolěten	Ampay		7	5	6	amod														
čásy+	чáсы+	časy	čas	Nmpan		7	6	10	obl														
lúčę+	лꙋ́чѧ+	lučę	lъč	Nmpan		7	7	10	obj														
po	по	po	po	Sd		7	8	11	case														
vьséi+	вьсе́и+	vъsei	vse	Afsdy		7	9	11	amod	det						Because nominal dependents are sometimes unclear due to Euthymius' syntax, determiners are marked more thoroughly (i.e. including amod-s like <i>drug</i>, <i>in</i>, <i>někoi</i>, <i>někъtori</i>, <i>niktože</i>, <i>takъv</i>, <i>vse</i>) in this text.							
pro_strěvšu	про_стрѣвшꙋ	prostrěvšu	prostrja	Vmpa-sea	Ansdn	7	10	14	advcl					1									
zemlí	земли́	zemli	zemlja	Nfsdn		7	11	10	obl														
vьsě+	вьсѣ+	vъsě	vse	Anpnn		7	12	13	amod	det			all lifeforms grow and prosper with great progress.										
živōtnaa+	живѡтнаа+	životnaa	životno	Nnpnn		7	13	14	nsubj														
rastǫ´tь+	растѫ́ть+	rastǫtъ	rastja	Vmip3pi		7	14	0	root														
i+	и+	i	i	C		7	15	16	cc														
bōtě_ǫtъ+	бѡтѣ_ѫтъ+	botěǫtъ	botěti	Vmip3pi		7	16	14	conj					1		Miklosich: botěti 'piainesѳai, pinguescere'							
na+	на+	na	na	Sa		7	17	19	case														
bw´lšee+	бѡ́лшее+	bolšee	bolě	Rc		7	18	19	advmod														
prěspěvaǫšte.	прѣспѣваѫще.	prěspěvaǫšte	prěspěvati	Vmpp-sia	Ansan	7	19	14	advcl							Miklosich: prěspěvati 'prokoptein, proficere'							
																							
ʾi+	҆и+	i	i	C		8	1	11	cc				And, as (the sunrays) bring the lot of renewal			и както лъчите носят куп обновления,							
ʾjákože+	҆ꙗ́коже+	jakože	jakože	R		8	2	4	mark														
ʾobnovlé_nïa+	҆обновле́_нїа+	obnovlenia	obnovlenie	Nnsgn		8	3	4	nsubj					1									
ʾvw´dęt+	҆вѡ́дѧт+	vodęt	vodja	Vmip3pi		8	4	11	advcl														
sъbw´rъ,	събѡ́ръ,	sъborъ	sъbor	Nmsnn		8	5	4	obj														
táko+	тáко+	tako	taka	Pr		8	6	11	advmod				thus also the spiritual story brings a lot of joy to the hearing souls			така и духовната повест носи куп радости на послушните души							
ʾi+	҆и+	i	i	C		8	7	6	fixed														
dx҃w´vnaa+	дх҃ѡ́внаа+	dxovnaa	duxoven	Afsny		8	8	9	amod														
póvěstь+	по́вѣсть+	pověstъ	pověst	Nfsnn		8	9	11	nsubj														
vselïa	вселїа	vselia	veselie	Nnsgn		8	10	12	nmod	poss				1									
vw´ditь	вѡ́дить	voditъ	vodja	Vmip3si		8	11	0	root														
sъbw´rъ+	събѡ́ръ+	sъborъ	sъbor	Nmsnn		8	12	11	obj														
poslušaǫ´štimь+	послꙋшаѫ́щимь+	poslušaǫštimъ	poslušam	Afpdy	Vmpp-sia	8	13	14	amod														
dš҃amь.	дш҃амь.	dšamъ	duša	Nfpdy		8	14	11	obl	iobj													
																							
ʾi+	҆и+	i	i	C		9	1	6	cc				and the cloud of sorrows is all-well blown and chased away.			и леко разсейва и прогонва цял облак от печал.							
pečalei	печалеи	pečalei	pečal	Nfpgn		9	2	3	nmod	poss				1									
ʾw´blakъ+	҆ѡ́блакъ+	oblakъ	oblak	Nmsnn		9	3	6	obj														
vsé+	все́+	vse	vse	R		9	4	5	advmod														
ûdw´bъ+	ꙋ̂дѡ́бъ+	udobъ	udoba	Nfpgn		9	5	6	advmod														
razěvaʾetь+	разѣва҆еть+	razěvaetъ	razvějati	Vmip3si		9	6	0	root														
ʾi+	҆и+	i	i	C		9	7	8	cc														
wtgw´nitъ•	ѿгѡ́нитъ•	otgonitъ	otgonja	Vmip3se		9	8	6	conj					1									
																							
Sln҃ca+	Слн҃ца+	slnca	slъnce	Nnsgn		10	1	3	nmod	abl			And the rememberance of Reverend Parascheva will be brighter than the Sun			А паметта на преподобната Петка ще стане по-светла и от слънцето,							
že+	же+	že	že	Qd		10	2	3	cc														
světlěišïa+	свѣтлѣишїа+	světlěišia	světъl	Afsnnc		10	3	0	root														
prpdbnyǫ+	прпдбныѫ+	prpdbnyǫ	prepodoben	Afsgy		10	4	7	amod														
bǫ´det+	бѫ́дет+	bǫdet	bъda	Vmip3se		10	5	3	cop														
pamęt+	памѧт+	pamęt	pamet	Nfsnn		10	6	3	nsubj														
paraske_vî,	параске_ви̂,	paraskevi	Paraskeva	Nfsgy		10	7	6	nmod	poss				1									
ăšte+	ӑще+	ašte	ašte	C		10	8	12	mark				when we explain in detail her life and deeds and journeys			ако подробно изложим нейното житие и нейните деяния и странствания,							
pw´+	пѡ́+	po	po	Sd		10	9	10	case														
drwbnu+	дрѡбнꙋ+	drobnu	droben	Ansdn		10	10	12	advmod														
toǫ+	тоѫ+	toǫ	tja	Pp3fsi	Pp3fsg	10	11	13	nmod	poss						< toę							
sъpověmy+	съповѣмы+	sъpověmy	sъpověsti	Vmip1pe		10	12	3	advcl														
žitïe,	житїе,	žitie	žitie	Nnsnn		10	13	12	obj														
děánï_á+	дѣáнї_á+	děania	dejanie	Nnpnn		10	14	13	conj					1									
že+	же+	že	že	Qd		10	15	14	cc														
î+	и̂+	i	i	C		10	16	17	cc														
xwždénïa	хѡжде́нїа	xoždenia	xoždenie	Nnpnn		10	17	14	conj														
