text	cyrillic	diplomatic	lemma	PoS_tag	PoS_ext	sent_id	UD_id	UD_ncy	UD_type	UD_ext	page	folio	translation	eol	chapter	ref	desc	lat_header	cyr_header	alt_page_lat	alt_page_cyr	chunk	chunk_desc	pic_desc
																								
om	ॐ	om	om	I		1	1	0	root		3.18	/img/rv3-18.png	Om!	0	rva RgVeda		Rigveda Hymn 3.18<br/><b>To Agni from Kata Vaiśvāmitra</b><br/><br/><font size=1>Devanagari transcript: <a href=https://hinduismpedia.kailaasa.org/wiki/RigVeda_3.18.1>HinduismPedia</a><br/>Literature:<br/> Jamison, Stephanie W. & Brereton, Joel P. (2014) <i>The Rigveda: The Earliest Religious Poetry of India</i>, Vol. 1. Oxford: Oxford Univ. Press.<br/>Nootenvan, B. A. van (1994). <i>Rig Veda: a metrically restored text with an introduction and notes</i>. Harvard Univ. Press. <br/>Annotation: Stefan Hainig</font>	<audio id='mwe_player_0' controls='' preload='none' width='150' style='width:200px;' data-durationhint='143' data-mwtitle='rv3-18.mp3' data-mwprovider='wikimediacommons'><source src='/mp3/rv3-18.mp3' type='audio/mpeg' data-title='MP3' data-shorttitle='MP3' data-transcodekey='mp3' data-width='0' data-height='0' data-bandwidth='183232' /></audio>	<audio id='mwe_player_0' controls='' preload='none' width='150' style='width:200px;' data-durationhint='143' data-mwtitle='rv3-18.mp3' data-mwprovider='wikimediacommons'><source src='/mp3/rv3-18.mp3' type='audio/mpeg' data-title='MP3' data-shorttitle='MP3' data-transcodekey='mp3' data-width='0' data-height='0' data-bandwidth='183232' /></audio>					
[...]	[...]	[...]	[...]	X		1	2	1	punct					1										
																								
bhávā	भवा॑	bhavā	√bhū	Vmm-2sia		2	1	4	cop				1. Become benevolent toward us, Agni, at our reverent approach,											
no	नो	no	ahám	Pp1-pd	Pp1-pa:Pp1-pg	2	2	4	obl	iobj						Allowable final consonant: <i>nas</i> > <i>naḥ</i><br/>Sandhi: <i>naḥ</i> > <i>no</i>								
agne	अग्ने	agne	Agní	Nmsv		2	3	4	vocative															
sumánā	सु॒मना॒	sumanā	sumánas-	Nmsn		2	4	0	root							Allowable final consonant: <i>sumánās</i> > <i>sumánāḥ</i><br/>Sandhi: <i>sumánāḥ</i> > <i>sumánā</i>								
úpetau	उपे॑तौ॒	upetau	úpeti-	Nfsl		2	5	1	advmod															
																								
sákh+	सखे॑व॒	sakh	sákhi-	Nmsn		3	1	6	acl				bringing success (to us), like a companion to his companion, like a father and mother.			Contractional Sandhi: <i>sákhā+iva</i> > <i>sákheva</i><br/>Irregular i-stem								
eva	*	eva	iva	C		3	2	1	mark															
sákhye	सख्ये॑	sakhye	sákhi-	Nmsd		3	3	1	obl	iobj						Irregular i-stem								
pitár+	पि॒तरे॑व	pitar	pitár-	Nmdn	Nmda	3	4	1	conj							Contractional Sandhi: <i>pitárā+iva</i> > <i>pitáreva</i>								
eva	*	eva	iva	C		3	5	4	mark															
sādhúḥ	सा॒धुः	sādhuḥ	sādhú-	Nmsn		3	6	0	root					1		Allowable final consonant: <i>sādhús</i> > <i>sādhúḥ</i>								
																								
purudrúho	पु॒रु॒द्रुहो॒	purudruho	purudrúh-	Nfpn		4	1	0	root				Since the dwelling places of the peoples have many deceptions,			Allowable final consonant: <i>purudrúhas</i> > <i>purudrúhaḥ</i><br/>Sandhi: <i>purudrúhaḥ</i> > <i>purudrúho</i>								
hí	हि	hi	hí	C		4	2	1	cc															
kṣitáyo	क्षि॒तयो॒	kṣitayo	kṣití-	Nfpn	Nfpv	4	3	1	nsubj							Allowable final consonant: <i>kṣitáyas</i> > <i>kṣitáyaḥ</i><br/> Sandhi: <i>kṣitáyaḥ</i> > <i>kṣitáyo</i>								
jánānām	जना॑नां॒	janānām	jána-	Nmpg		4	4	3	nmod															
																								
práti	प्रति॑	prati	práti	Sa		5	1	4	case				burn against the hostilities turned against us.											
pratīcī́r+	प्रती॒चीर्द॑हता॒दरा॑तीः	praticīr	pratyáñc-	Nfpa	Nfpn	5	2	4	amod							Allowable final consonant: <i>pratīcī́s</i> > <i>pratīcī́ḥ</i><br/>Sandhi: <i>pratīcī́ḥ</i> > <i>pratīcī́r</i><br/>Derived Feminine, for the paradigm see <i>Ī-stems (devī-class)<i/>								
dahatād+	*	dahatād	√dah	Vmm-2sia		5	3	0	root							Sandhi: <i>dahatāt</i> > <i>dahatād</i>								
árātīḥ	*	arātiḥ	árāti-	Nfpa		5	4	3	obl					1		Allowable final consonant: <i>árātīs</i> > <i>árātīḥ</i>								
																								
táp+	तपो॒ 	tap	√tap	Vmm-2sia		6	1	0	root				2. Scorch our near enemies, Agni.			Contractional Sandhi: <i>tápa+u</i> > <i>tápo</i>								
o	*	o	u	C		6	2	1	cc															
ṣú+	ष्व॑ग्ने॒ 	ṣu	sú	R		6	3	1	advmod															
agne	*	agne	Agní	Nmsv		6	4	1	vocative															
